bite_date,species,breed,gender,color,vaccination_yrs,vaccination_date,victim_zip,adv_issued,bite_location,quarantine_date,disposition,head_sent_date,release_date,results
1992-02-27,DOG,,MALE,BLK-TAN,,,,NO,BODY,1992-03-02 0:00,RELEASED,,,UNKNOWN
1992-03-06,DOG,,MALE,WHT,,,,NO,BODY,1992-03-11 0:00,RELEASED,,,UNKNOWN
1992-03-18,CAT,,UNKNOWN,,,,,NO,HEAD,1992-03-24 0:00,RELEASED,,,UNKNOWN
1992-04-06,DOG,,UNKNOWN,BLK,,,,NO,BODY,1992-04-08 0:00,RELEASED,,,UNKNOWN
1992-05-06,DOG,,UNKNOWN,BLK,,,,NO,BODY,1992-05-09 0:00,RELEASED,,,UNKNOWN
1992-06-04,DOG,,MALE,BRN,,,,NO,BODY,1992-06-10 0:00,RELEASED,,,UNKNOWN
1992-06-29,DOG,,FEMALE,RED,,,,NO,BODY,1992-06-30 0:00,RELEASED,,,UNKNOWN
1992-08-06,DOG,,UNKNOWN,WHITE,,,40215,NO,BODY,1992-08-06 0:00,RELEASED,,,UNKNOWN
1992-08-26,DOG,,MALE,BRN-BLK,,,40210,NO,BODY,1992-08-31 0:00,RELEASED,,,UNKNOWN
1993-04-04,DOG,,UNKNOWN,,,,,NO,BODY,1993-04-05 0:00,RELEASED,,,UNKNOWN
1993-04-06,CAT,,UNKNOWN,,,,,NO,BODY,1993-04-19 0:00,RELEASED,,,UNKNOWN
1993-05-12,DOG,,MALE,BRN,,,,NO,HEAD,1993-05-14 0:00,RELEASED,,,UNKNOWN
1993-06-20,DOG,,UNKNOWN,,,,,NO,BODY,1993-06-21 0:00,RELEASED,,,UNKNOWN
1993-07-09,DOG,,FEMALE,BRN,,,,YES,BODY,1993-07-09 0:00,RELEASED,,,UNKNOWN
1993-12-04,DOG,,UNKNOWN,,,,,NO,BODY,1993-12-06 0:00,RELEASED,,,UNKNOWN
1994-03-31,DOG,,MALE,BRN-BLK,,,,NO,BODY,1994-04-06 0:00,RELEASED,,,UNKNOWN
1994-04-11,DOG,,MALE,BLK,,,,NO,BODY,1994-04-13 0:00,RELEASED,,,UNKNOWN
1994-05-08,DOG,,UNKNOWN,,,,,NO,BODY,1994-05-09 0:00,RELEASED,,,UNKNOWN
1994-05-10,DOG,,FEMALE,MULT COLOR,,,,NO,HEAD,1994-05-13 0:00,RELEASED,,,UNKNOWN
1994-05-22,DOG,,MALE,TRI,,,,NO,BODY,1994-05-24 0:00,RELEASED,,,UNKNOWN
1994-06-10,DOG,,UNKNOWN,,,,,NO,BODY,1994-06-15 0:00,RELEASED,,,UNKNOWN
1994-07-21,DOG,,UNKNOWN,,,,,NO,BODY,1994-07-21 0:00,RELEASED,,,UNKNOWN
2009-10-29,CAT,,FEMALE,GRAY,,,40206,NO,BODY,2009-10-30 0:00,UNKNOWN,,,UNKNOWN
2009-12-02,DOG,,MALE,TAN-BRN,1,2010-01-16 0:00,40291,NO,BODY,2009-12-03 0:00,RELEASED,,,UNKNOWN
2009-12-11,DOG,,MALE,BLK-BRN,,,40272,NO,BODY,2009-12-11 0:00,RELEASED,,,UNKNOWN
2009-12-21,DOG,,UNKNOWN,BLACK,,,40218,NO,HEAD,2009-12-29 0:00,UNKNOWN,,,UNKNOWN
2009-12-24,DOG,,MALE,BRN-WHT,1,2009-04-30 0:00,40165,NO,HEAD,2009-12-28 0:00,RELEASED,,,UNKNOWN
2009-12-24,DOG,,UNKNOWN,BLACK,,,40229,NO,BODY,2009-12-29 0:00,UNKNOWN,,,UNKNOWN
2009-12-28,DOG,,UNKNOWN,BLACK,,,40299,NO,HEAD,2009-12-29 0:00,UNKNOWN,,,UNKNOWN
2009-12-29,DOG,,FEMALE,WHT-BRN,3,2008-06-07 0:00,40291,NO,BODY,2009-12-30 0:00,RELEASED,,,UNKNOWN
2009-12-30,DOG,,FEMALE,WHITE,3,2010-01-06 0:00,40229,NO,BODY,2009-12-31 0:00,RELEASED,,,UNKNOWN
2009-12-30,DOG,,MALE,BLK-WHT,,,40218,NO,BODY,2010-01-06 0:00,RELEASED,,,UNKNOWN
2009-12-30,DOG,,FEMALE,BLK-WHT,1,2009-12-26 0:00,40220,NO,BODY,2010-01-06 0:00,UNKNOWN,,,UNKNOWN
2009-12-31,DOG,,MALE,WHT-GRAY,3,2008-08-28 0:00,40220,NO,BODY,2010-01-04 0:00,RELEASED,,,UNKNOWN
2009-12-31,CAT,,MALE,WHITE,1,2010-01-14 0:00,40220,NO,BODY,2010-01-04 0:00,RELEASED,,,UNKNOWN
2009-12-31,DOG,,MALE,BRN,1,2009-07-23 0:00,40241,NO,BODY,2010-01-04 0:00,RELEASED,,,UNKNOWN
2010-01-01,DOG,,FEMALE,WHT,1,2009-10-22 0:00,40228,NO,BODY,2010-01-04 0:00,RELEASED,,,UNKNOWN
2010-01-02,DOG,,MALE,BLK-BRN,3,2008-02-07 0:00,40291,NO,HEAD,2010-01-04 0:00,RELEASED,,,UNKNOWN
2010-01-02,DOG,,UNKNOWN,,,,40219,YES,BODY,2010-01-04 0:00,UNKNOWN,,,UNKNOWN
2010-01-02,CAT,,FEMALE,,,,40291,NO,BODY,2010-01-04 0:00,RELEASED,,,UNKNOWN
2010-01-02,DOG,,UNKNOWN,BLK,,,40216,NO,BODY,2010-01-04 0:00,UNKNOWN,,,UNKNOWN
2010-01-02,DOG,,FEMALE,BRN-WHT,1,2010-01-27 0:00,40071,NO,HEAD,2010-01-06 0:00,RELEASED,,,UNKNOWN
2010-01-03,CAT,,UNKNOWN,BLK-WHT,,,40216,YES,BODY,2010-01-20 0:00,UNKNOWN,,,UNKNOWN
2010-01-04,DOG,,FEMALE,BLK,1,2010-01-15 0:00,40291,NO,BODY,2010-01-06 0:00,RELEASED,,,UNKNOWN
2010-01-04,DOG,,MALE,TAN,1,2009-09-01 0:00,40031,NO,HEAD,2010-01-15 0:00,RELEASED,,,UNKNOWN
2010-01-05,DOG,,MALE,BLK-TAN,1,2009-02-02 0:00,40241,NO,BODY,2010-01-06 0:00,UNKNOWN,,,UNKNOWN
2010-01-05,DOG,,FEMALE,BRN,1,2009-03-31 0:00,40291,NO,BODY,2010-01-06 0:00,RELEASED,,,UNKNOWN
2010-01-06,DOG,,UNKNOWN,BLUE,1,2009-05-20 0:00,40217,NO,BODY,2010-01-11 0:00,RELEASED,,,UNKNOWN
2010-01-07,DOG,,FEMALE,TAN,3,2010-02-01 0:00,40217,NO,HEAD,2010-01-08 0:00,RELEASED,,,UNKNOWN
2010-01-07,DOG,,MALE,BLK,3,2010-02-05 0:00,40219,NO,BODY,2010-01-08 0:00,RELEASED,,,UNKNOWN
2010-01-07,DOG,,MALE,COPPER-WHT,1,2009-03-10 0:00,40222,NO,BODY,2010-01-08 0:00,RELEASED,,,UNKNOWN
2010-01-08,DOG,,MALE,BLK-WHT,,,40214,NO,HEAD,2010-01-13 0:00,RELEASED,,,UNKNOWN
2010-01-08,DOG,,FEMALE,WHT-BUFF,1,2010-01-06 0:00,40291,NO,BODY,2010-01-11 0:00,RELEASED,,,UNKNOWN
2010-01-09,DOG,,UNKNOWN,BLK-WHT,,,40219,NO,BODY,,UNKNOWN,2010-01-10 0:00,,UNKNOWN
2010-01-09,CAT,,UNKNOWN,,,,40272,YES,BODY,2010-01-11 0:00,UNKNOWN,,,UNKNOWN
2010-01-09,CAT,,UNKNOWN,BLK,,,40272,NO,BODY,2010-01-09 0:00,UNKNOWN,,,UNKNOWN
2010-01-10,DOG,,UNKNOWN,WHT,,,40229,YES,HEAD,2010-01-11 0:00,UNKNOWN,,,UNKNOWN
2010-01-11,DOG,,MALE,BRN,1,2010-02-02 0:00,40272,NO,BODY,2010-01-11 0:00,RELEASED,,,UNKNOWN
2010-01-11,DOG,,MALE,BLK-WHT,3,,40272,NO,HEAD,2010-01-12 0:00,RELEASED,,,UNKNOWN
2010-01-11,DOG,,FEMALE,BRINDLE,3,2007-03-16 0:00,40272,NO,HEAD,2010-01-12 0:00,RELEASED,,,UNKNOWN
2010-01-12,DOG,,MALE,BRN-WHT,,,40214,NO,BODY,,UNKNOWN,2010-01-14 0:00,,UNKNOWN
2010-01-12,DOG,,MALE,TRI,,,40204,YES,BODY,2010-01-13 0:00,UNKNOWN,,,UNKNOWN
2010-01-12,DOG,,MALE,BLK,1,2009-10-19 0:00,40219,NO,BODY,2010-01-13 0:00,RELEASED,,,UNKNOWN
2010-01-12,CAT,,UNKNOWN,BLK-WHT,,,40208,NO,BODY,2010-01-12 0:00,UNKNOWN,,,UNKNOWN
2010-01-14,DOG,,UNKNOWN,TAN,,,40206,YES,BODY,2010-01-15 0:00,UNKNOWN,,,UNKNOWN
2010-01-14,DOG,,MALE,YELLOW,1,2010-01-01 0:00,40299,NO,BODY,2010-01-20 0:00,RELEASED,,,UNKNOWN
2010-01-15,DOG,,MALE,BLACK/BROW,1,2010-02-02 0:00,40272,NO,HEAD,2010-01-19 0:00,RELEASED,,,UNKNOWN
2010-01-16,CAT,,FEMALE,BLK-WHT,1,2010-02-02 0:00,40222,NO,BODY,2010-01-19 0:00,RELEASED,,,UNKNOWN
2010-01-16,DOG,,MALE,TRI,3,2009-05-02 0:00,40219,NO,BODY,2010-01-21 0:00,UNKNOWN,,,UNKNOWN
2010-01-16,DOG,,MALE,BLUE,1,2010-01-29 0:00,40205,NO,BODY,2010-01-20 0:00,RELEASED,,,UNKNOWN
2010-01-17,CAT,,MALE,BROWN,1,2009-12-22 0:00,40206,NO,BODY,2010-01-19 0:00,RELEASED,,,UNKNOWN
2010-01-19,DOG,,MALE,BLK,3,2009-05-01 0:00,40207,NO,BODY,2010-01-20 0:00,RELEASED,,,UNKNOWN
2010-01-20,DOG,,MALE,BLK,1,2009-12-11 0:00,40223,NO,BODY,2010-01-28 0:00,RELEASED,,,UNKNOWN
2010-01-21,DOG,,FEMALE,BRN,1,2009-07-13 0:00,40223,NO,HEAD,2010-01-25 0:00,RELEASED,,,UNKNOWN
2010-01-22,CAT,,MALE,BLK-WHT,,,40258,YES,BODY,2010-01-25 0:00,UNKNOWN,,,UNKNOWN
2010-01-23,DOG,,UNKNOWN,YELLOW,,,40208,YES,BODY,2010-01-25 0:00,UNKNOWN,,,UNKNOWN
2010-01-24,DOG,,MALE,RED,3,2008-02-11 0:00,40245,NO,HEAD,2010-01-26 0:00,RELEASED,,,UNKNOWN
2010-01-25,CAT,,FEMALE,GRAY-TORTI,,,40208,NO,HEAD,2010-01-28 0:00,UNKNOWN,,,UNKNOWN
2010-01-25,DOG,,FEMALE,FAWN-WHT,1,2010-02-08 0:00,42784,NO,BODY,2010-01-25 0:00,RELEASED,,,UNKNOWN
2010-01-25,DOG,,FEMALE,BRN-WHT,,,40165,NO,BODY,2010-01-28 0:00,RELEASED,,,UNKNOWN
2010-01-26,DOG,,MALE,BROWN-BLK,,,40206,NO,BODY,2010-01-27 0:00,RELEASED,,,UNKNOWN
2010-01-27,DOG,,MALE,BLACK,1,2010-03-01 0:00,40299,NO,BODY,2010-01-28 0:00,RELEASED,,,UNKNOWN
2010-01-27,CAT,,UNKNOWN,,,,40220,YES,BODY,2010-01-28 0:00,UNKNOWN,,,UNKNOWN
2010-01-27,DOG,,UNKNOWN,,,,40291,YES,BODY,2010-01-28 0:00,UNKNOWN,,,UNKNOWN
2010-01-27,DOG,,UNKNOWN,YELLOW,1,2009-09-18 0:00,40272,NO,BODY,2010-02-01 0:00,RELEASED,,,UNKNOWN
2010-01-27,DOG,,FEMALE,BRN-BLACK,1,2010-07-30 0:00,40229,NO,BODY,2011-01-28 0:00,UNKNOWN,,,UNKNOWN
2010-01-28,DOG,,FEMALE,TAN,1,2009-10-05 0:00,40218,NO,HEAD,2010-02-01 0:00,RELEASED,,,UNKNOWN
2010-01-28,DOG,,FEMALE,BLK-TAN,1,2009-07-16 0:00,40204,NO,BODY,2010-02-01 0:00,RELEASED,,,UNKNOWN
2010-01-29,DOG,,MALE,BLK-WHT,,,40210,NO,HEAD,2010-02-02 0:00,RELEASED,,,UNKNOWN
2010-01-29,DOG,,FEMALE,TAN,1,2009-03-17 0:00,40291,NO,BODY,2010-02-01 0:00,RELEASED,,,UNKNOWN
2010-01-30,DOG,,UNKNOWN,,,,40118,NO,HEAD,2010-02-01 0:00,UNKNOWN,,,UNKNOWN
2010-01-30,CAT,,FEMALE,BLK,1,2010-02-19 0:00,46011,NO,BODY,2010-02-01 0:00,RELEASED,,,UNKNOWN
2010-01-30,DOG,,MALE,RED-WHT,1,2009-03-18 0:00,40218,NO,BODY,2010-02-01 0:00,RELEASED,,,UNKNOWN
2010-01-30,DOG,,MALE,BLK-TAN,,,40229,NO,BODY,2010-01-30 0:00,UNKNOWN,,,UNKNOWN
2010-01-31,CAT,,MALE,TAN-BRN,1,2010-02-19 0:00,40299,NO,HEAD,2010-02-01 0:00,RELEASED,,,UNKNOWN
2010-01-31,DOG,,MALE,B.MERLE-GR,,,40212,YES,HEAD,2010-02-01 0:00,UNKNOWN,,,UNKNOWN
2010-01-31,DOG,,MALE,BLK-WHT,1,2009-02-14 0:00,40220,NO,BODY,2010-02-01 0:00,RELEASED,,,UNKNOWN
2010-02-01,DOG,,MALE,BROWN,1,2009-08-12 0:00,40215,NO,BODY,2010-02-01 0:00,RELEASED,,,UNKNOWN
2010-02-01,CAT,,MALE,GRAY-WHT,,,40291,NO,BODY,2010-02-01 0:00,UNKNOWN,,,UNKNOWN
2010-02-01,DOG,,MALE,TAN-WHT,,,40211,NO,BODY,2010-02-01 0:00,UNKNOWN,,,UNKNOWN
2010-02-02,DOG,,MALE,BLONDE,1,2010-01-23 0:00,40059,NO,HEAD,2010-02-04 0:00,RELEASED,,,UNKNOWN
2010-02-02,CAT,,UNKNOWN,GRAY-WHITE,,,40203,NO,BODY,2010-02-02 0:00,UNKNOWN,,,UNKNOWN
2010-02-03,DOG,,MALE,BROWN-BLK,1,2009-05-12 0:00,40205,NO,BODY,2010-02-03 0:00,RELEASED,,,UNKNOWN
2010-02-04,DOG,,UNKNOWN,,,,40229,NO,BODY,,UNKNOWN,2010-02-05 0:00,,UNKNOWN
2010-02-04,DOG,,UNKNOWN,BRN-WHT,,2007-06-01 0:00,40228,NO,BODY,2010-02-04 0:00,UNKNOWN,,,UNKNOWN
2010-02-05,DOG,,MALE,WHT,,,40217,NO,BODY,2010-02-05 0:00,RELEASED,,,UNKNOWN
2010-02-05,DOG,,MALE,BROWN,,,40229,NO,HEAD,2010-02-08 0:00,UNKNOWN,,,UNKNOWN
2010-02-05,DOG,,UNKNOWN,,,,40220,YES,BODY,2010-02-08 0:00,UNKNOWN,,,UNKNOWN
2010-02-06,DOG,,MALE,BLK-BRN,,,40272,NO,BODY,2010-02-06 0:00,UNKNOWN,,,UNKNOWN
2010-02-07,DOG,,FEMALE,WHT-BRN,3,2009-08-15 0:00,40215,NO,HEAD,2010-02-10 0:00,RELEASED,,,UNKNOWN
2010-02-07,DOG,,MALE,TRI,3,2009-02-16 0:00,40228,NO,BODY,2010-02-08 0:00,RELEASED,,,UNKNOWN
2010-02-09,CAT,,UNKNOWN,BLK-WHT,,,40203,NO,BODY,2010-02-09 0:00,UNKNOWN,,,UNKNOWN
2010-02-09,CAT,,UNKNOWN,GREY,1,2009-08-20 0:00,40218,NO,BODY,2010-02-16 0:00,RELEASED,,,UNKNOWN
2010-02-10,DOG,,UNKNOWN,,,,40218,YES,BODY,2010-02-10 0:00,UNKNOWN,,,UNKNOWN
2010-02-10,DOG,,MALE,GRAY,1,2010-01-26 0:00,40214,NO,BODY,2010-02-11 0:00,RELEASED,,,UNKNOWN
2010-02-10,DOG,,FEMALE,BLK,1,2010-01-18 0:00,40204,NO,BODY,2010-02-11 0:00,RELEASED,,,UNKNOWN
2010-02-10,DOG,,MALE,BLK-WHT,1,2009-08-22 0:00,40014,NO,BODY,2010-02-19 0:00,RELEASED,,,UNKNOWN
2010-02-10,CAT,,FEMALE,BLK-WHT,1,2009-06-09 0:00,40207,NO,BODY,2010-02-22 0:00,RELEASED,,,UNKNOWN
2010-02-11,DOG,,FEMALE,SILVER,1,2010-03-03 0:00,40217,NO,BODY,2010-02-11 0:00,RELEASED,,,UNKNOWN
2010-02-11,DOG,,UNKNOWN,,,,40229,YES,HEAD,2010-02-12 0:00,UNKNOWN,,,UNKNOWN
2010-02-11,DOG,,UNKNOWN,,,,40206,YES,BODY,2010-02-12 0:00,UNKNOWN,,,UNKNOWN
2010-02-12,DOG,,MALE,BRN-WHT,1,2010-03-02 0:00,40218,NO,BODY,2010-02-16 0:00,RELEASED,,,UNKNOWN
2010-02-12,CAT,,UNKNOWN,GREY,,,40208,NO,BODY,2010-02-12 0:00,UNKNOWN,,,UNKNOWN
2010-02-12,DOG,,MALE,BLK,1,2010-02-22 0:00,40229,NO,BODY,2010-02-17 0:00,RELEASED,,,UNKNOWN
2010-02-13,CAT,,UNKNOWN,GREY,1,2010-02-11 0:00,40242,NO,BODY,2010-02-16 0:00,RELEASED,,,UNKNOWN
2010-02-14,DOG,,UNKNOWN,BRN,1,2009-10-07 0:00,40207,NO,BODY,2010-02-22 0:00,RELEASED,,,UNKNOWN
2010-02-15,DOG,,UNKNOWN,BLK,,,40216,NO,HEAD,2010-02-18 0:00,RELEASED,,,UNKNOWN
2010-02-16,DOG,,UNKNOWN,BRN,,,40272,NO,BODY,,UNKNOWN,2010-02-18 0:00,,UNKNOWN
2010-02-16,CAT,,FEMALE,BLK,,,40217,NO,BODY,2010-02-16 0:00,UNKNOWN,,,UNKNOWN
2010-02-16,DOG,,FEMALE,GRAY,1,2009-05-31 0:00,40245,NO,BODY,2010-02-24 0:00,RELEASED,,,UNKNOWN
2010-02-18,DOG,,UNKNOWN,,,,40217,YES,BODY,2010-02-18 0:00,UNKNOWN,,,UNKNOWN
2010-02-18,CAT,,MALE,ORANGE,1,2010-03-01 0:00,40229,NO,BODY,2010-02-19 0:00,RELEASED,,,UNKNOWN
2010-02-18,DOG,,MALE,TRI,1,2009-09-26 0:00,40299,NO,BODY,2010-02-19 0:00,RELEASED,,,UNKNOWN
2010-02-18,DOG,,MALE,BLACK-TAN,1,2009-07-02 0:00,40241,NO,BODY,2010-02-19 0:00,RELEASED,,,UNKNOWN
2010-02-19,DOG,,MALE,WHT,1,2009-11-13 0:00,40291,NO,BODY,2010-02-19 0:00,RELEASED,,,UNKNOWN
2010-02-20,CAT,,FEMALE,WHT-BLK,1,2009-08-06 0:00,40241,NO,BODY,2010-02-22 0:00,RELEASED,,,UNKNOWN
2010-02-20,DOG,,UNKNOWN,BRINDLE-WH,,2010-01-02 0:00,40210,NO,BODY,2010-02-20 0:00,UNKNOWN,,,UNKNOWN
2010-02-20,DOG,,UNKNOWN,RED-WHT,1,2009-07-29 0:00,40206,NO,BODY,2010-02-22 0:00,RELEASED,,,UNKNOWN
2010-02-21,CAT,,FEMALE,WHT-BLK,,,40219,NO,HEAD,2010-02-21 0:00,UNKNOWN,,,UNKNOWN
2010-02-21,DOG,,FEMALE,WHT-TAN,3,2009-12-04 0:00,,NO,BODY,2010-02-22 0:00,RELEASED,,,UNKNOWN
2010-02-21,DOG,,FEMALE,BLK-TAN,3,2008-12-15 0:00,47150,NO,BODY,2010-02-22 0:00,RELEASED,,,UNKNOWN
2010-02-21,CAT,,UNKNOWN,BRN-WHT,,,40299,NO,BODY,2010-02-21 0:00,UNKNOWN,,,UNKNOWN
2010-02-22,DOG,,UNKNOWN,,,,40272,YES,BODY,2010-02-23 0:00,UNKNOWN,,,UNKNOWN
2010-02-22,DOG,,FEMALE,BRN-WHT,3,2009-08-05 0:00,40214,NO,BODY,2010-02-24 0:00,RELEASED,,,UNKNOWN
2010-02-22,DOG,,UNKNOWN,TAN-WHT,,2009-10-26 0:00,40216,NO,HEAD,2010-02-22 0:00,UNKNOWN,,,UNKNOWN
2010-02-23,DOG,,UNKNOWN,,,,40216,NO,HEAD,2010-02-24 0:00,RELEASED,,,UNKNOWN
2010-02-23,DOG,,UNKNOWN,,,,40220,YES,HEAD,2010-02-24 0:00,UNKNOWN,,,UNKNOWN
2010-02-23,CAT,,MALE,LT. BR,1,2009-05-05 0:00,40047,NO,BODY,2010-02-26 0:00,RELEASED,,,UNKNOWN
2010-02-25,DOG,,FEMALE,BLK,1,2010-02-24 0:00,40241,NO,BODY,2010-03-01 0:00,RELEASED,,,UNKNOWN
2010-02-25,DOG,,FEMALE,TRI,1,2010-03-24 0:00,40258,NO,BODY,2010-03-01 0:00,RELEASED,,,UNKNOWN
2010-02-25,DOG,,MALE,BRN,,,40216,NO,HEAD,2010-02-25 0:00,UNKNOWN,,,UNKNOWN
2010-02-26,DOG,,MALE,WHT-BLK,,,40059,NO,HEAD,,UNKNOWN,2010-02-27 0:00,,UNKNOWN
2010-02-26,DOG,,UNKNOWN,,,,40059,NO,HEAD,,UNKNOWN,2010-02-27 0:00,,UNKNOWN
2010-02-26,DOG,,FEMALE,BLACK,1,2010-03-09 0:00,40059,NO,BODY,2010-02-26 0:00,RELEASED,,,UNKNOWN
2010-02-26,DOG,,MALE,RED,1,2010-03-12 0:00,40206,NO,BODY,2010-03-01 0:00,RELEASED,,,UNKNOWN
2010-02-26,DOG,,MALE,BLK-BRN,,,40118,NO,BODY,2010-03-01 0:00,RELEASED,,,UNKNOWN
2010-02-27,DOG,,MALE,BLK-WHT,1,2009-06-08 0:00,40222,NO,BODY,2010-03-01 0:00,RELEASED,,,UNKNOWN
2010-02-27,CAT,,UNKNOWN,GRAY,,,40215,NO,BODY,2010-02-27 0:00,UNKNOWN,,,UNKNOWN
2010-02-27,DOG,,UNKNOWN,BLONDE,,,40210,YES,BODY,2010-03-04 0:00,UNKNOWN,,,UNKNOWN
2010-02-28,CAT,,FEMALE,GRAY,1,2009-03-21 0:00,40222,NO,BODY,2010-03-01 0:00,RELEASED,,,UNKNOWN
2010-02-28,DOG,,UNKNOWN,,,,40272,NO,HEAD,2010-03-01 0:00,UNKNOWN,,,UNKNOWN
2010-02-28,CAT,,UNKNOWN,,,,40211,YES,BODY,2010-03-01 0:00,UNKNOWN,,,UNKNOWN
2010-03-01,BAT,,UNKNOWN,,,,40219,NO,BODY,,UNKNOWN,2010-03-02 0:00,,UNKNOWN
2010-03-01,DOG,,UNKNOWN,,,,,NO,BODY,,UNKNOWN,,,UNKNOWN
2010-03-01,DOG,,FEMALE,BLK-WHT,3,2008-12-31 0:00,40241,NO,BODY,2010-03-05 0:00,RELEASED,,,UNKNOWN
2010-03-02,CAT,,UNKNOWN,,,,40203,NO,BODY,2010-03-02 0:00,UNKNOWN,,,UNKNOWN
2010-03-03,CAT,,MALE,GRAY-WHT,,,40118,NO,HEAD,2010-03-08 0:00,UNKNOWN,,,UNKNOWN
2010-03-05,CAT,,UNKNOWN,ORANGE,,2009-07-25 0:00,40223,NO,BODY,2010-03-05 0:00,UNKNOWN,2010-03-06 0:00,,UNKNOWN
2010-03-05,DOG,,FEMALE,BR. BRINDL,,,40215,NO,BODY,2010-03-05 0:00,UNKNOWN,,,UNKNOWN
2010-03-05,DOG,,MALE,WHT,1,,40204,NO,BODY,2010-03-15 0:00,RELEASED,,,UNKNOWN
2010-03-06,DOG,,MALE,TAN,,,40272,NO,HEAD,2010-03-09 0:00,RELEASED,,,UNKNOWN
2010-03-06,DOG,,MALE,BRN,1,2010-03-25 0:00,40220,NO,HEAD,2010-03-09 0:00,RELEASED,,,UNKNOWN
2010-03-06,DOG,,UNKNOWN,BRN-WHT,,,40203,NO,BODY,2010-03-06 0:00,UNKNOWN,,,UNKNOWN
2010-03-06,DOG,,UNKNOWN,BRN,,2010-03-05 0:00,40210,NO,BODY,2010-03-06 0:00,UNKNOWN,,,UNKNOWN
2010-03-06,DOG,,UNKNOWN,BLK-TAN,1,2010-01-11 0:00,40299,YES,BODY,2010-03-08 0:00,RELEASED,,,UNKNOWN
2010-03-07,DOG,,FEMALE,YELLOW,,,40118,NO,HEAD,2010-03-08 0:00,UNKNOWN,,,UNKNOWN
2010-03-07,DOG,,UNKNOWN,,,,,NO,BODY,2010-03-08 0:00,UNKNOWN,,,UNKNOWN
2010-03-07,DOG,,FEMALE,BLK,,,40216,NO,BODY,2010-03-08 0:00,RELEASED,,,UNKNOWN
2010-03-07,DOG,,MALE,BLK-BRN,1,2009-08-26 0:00,40243,NO,BODY,2010-03-11 0:00,RELEASED,,,UNKNOWN
2010-03-07,DOG,,UNKNOWN,BLK-WHT,,,40206,NO,BODY,2010-03-15 0:00,RELEASED,,,UNKNOWN
2010-03-08,DOG,,MALE,BRN-WHT,,,40216,NO,BODY,2010-03-08 0:00,UNKNOWN,2010-03-09 0:00,,UNKNOWN
2010-03-08,DOG,,MALE,CREAM,1,2010-03-08 0:00,40241,NO,HEAD,2010-03-09 0:00,RELEASED,,,UNKNOWN
2010-03-08,DOG,,MALE,BLK-WHT,1,2009-08-03 0:00,40208,NO,BODY,2010-03-10 0:00,RELEASED,,,UNKNOWN
2010-03-08,DOG,,UNKNOWN,WHT,,,40258,YES,BODY,2010-03-10 0:00,UNKNOWN,,,UNKNOWN
2010-03-08,DOG,,MALE,BLK,,,40222,NO,BODY,2010-03-15 0:00,UNKNOWN,,,UNKNOWN
2010-03-08,DOG,,FEMALE,TAN,,,40211,NO,BODY,2010-03-08 0:00,UNKNOWN,,,UNKNOWN
2010-03-09,DOG,,UNKNOWN,,,,40203,YES,BODY,2010-03-10 0:00,UNKNOWN,,,UNKNOWN
