name,deck_no,attack,defense,sp_attack,sp_defense,capture_rt,speed,bs_happiness,total_bs,type,gen,legendary
Haunter,93,50,45,115,55,90,95,70,405,ghost,1,0
Gengar,94,65,80,170,95,45,130,70,600,ghost,1,0
Onix,95,45,160,30,45,45,70,70,385,rock,1,0
Drowzee,96,48,45,43,90,190,42,70,328,psychic,1,0
Hypno,97,73,70,73,115,75,67,70,483,psychic,1,0
Krabby,98,105,90,25,25,225,50,70,325,water,1,0
Kingler,99,130,115,50,50,60,75,70,475,water,1,0
Voltorb,100,30,50,55,55,190,100,70,330,electric,1,0
Electrode,101,50,70,80,80,60,150,70,490,electric,1,0
Exeggcute,102,40,80,60,45,90,40,70,325,grass,1,0
Exeggutor,103,105,85,125,75,45,45,70,530,grass,1,0
Cubone,104,50,95,40,50,190,35,70,320,ground,1,0
Marowak,105,80,110,50,80,75,45,70,425,ground,1,0
Hitmonlee,106,120,53,35,110,45,87,70,455,fighting,1,0
Hitmonchan,107,105,79,35,110,45,76,70,455,fighting,1,0
Lickitung,108,55,75,60,75,45,30,70,385,normal,1,0
Koffing,109,65,95,60,45,190,35,70,340,poison,1,0
Weezing,110,90,120,85,70,60,60,70,490,poison,1,0
Rhyhorn,111,85,95,30,30,120,25,70,345,ground,1,0
Rhydon,112,130,120,45,45,60,40,70,485,ground,1,0
Chansey,113,5,5,35,105,30,50,140,450,normal,1,0
Tangela,114,55,115,100,40,45,60,70,435,grass,1,0
Kangaskhan,115,125,100,60,100,45,100,70,590,normal,1,0
Horsea,116,40,70,70,25,225,60,70,295,water,1,0
Seadra,117,65,95,95,45,75,85,70,440,water,1,0
Goldeen,118,67,60,35,50,225,63,70,320,water,1,0
Seaking,119,92,65,65,80,60,68,70,450,water,1,0
Staryu,120,45,55,70,55,225,85,70,340,water,1,0
Starmie,121,75,85,100,85,60,115,70,520,water,1,0
Mr. Mime,122,45,65,100,120,45,90,70,460,psychic,1,0
Scyther,123,110,80,55,80,45,105,70,500,bug,1,0
Jynx,124,50,35,115,95,45,95,70,455,ice,1,0
Electabuzz,125,83,57,95,85,45,105,70,490,electric,1,0
Magmar,126,95,57,100,85,45,93,70,495,fire,1,0
Pinsir,127,155,120,65,90,45,105,70,600,bug,1,0
Tauros,128,100,95,40,70,45,110,70,490,normal,1,0
Magikarp,129,10,55,15,20,255,80,70,200,water,1,0
Gyarados,130,155,109,70,130,45,81,70,640,water,1,0
Lapras,131,85,80,85,95,45,60,70,535,water,1,0
Ditto,132,48,48,48,48,35,48,70,288,normal,1,0
Eevee,133,55,50,45,65,45,55,70,325,normal,1,0
Vaporeon,134,65,60,110,95,45,65,70,525,water,1,0
Jolteon,135,65,60,110,95,45,130,70,525,electric,1,0
Flareon,136,130,60,95,110,45,65,70,525,fire,1,0
Porygon,137,60,70,85,75,45,40,70,395,normal,1,0
Omanyte,138,40,100,90,55,45,35,70,355,rock,1,0
Omastar,139,60,125,115,70,45,55,70,495,rock,1,0
Kabuto,140,80,90,55,45,45,55,70,355,rock,1,0
Kabutops,141,115,105,65,70,45,80,70,495,rock,1,0
Aerodactyl,142,135,85,70,95,45,150,70,615,rock,1,0
Snorlax,143,110,65,65,110,25,30,70,540,normal,1,0
Articuno,144,85,100,95,125,3,85,35,580,ice,1,1
Zapdos,145,90,85,125,90,3,100,35,580,electric,1,1
Moltres,146,100,90,125,85,3,90,35,580,fire,1,1
Dratini,147,64,45,50,50,45,50,35,300,dragon,1,0
Dragonair,148,84,65,70,70,45,70,35,420,dragon,1,0
Dragonite,149,134,95,100,100,45,80,35,600,dragon,1,0
Mewtwo,150,150,70,194,120,3,140,0,780,psychic,1,1
Mew,151,100,100,100,100,45,100,100,600,psychic,1,1
Chikorita,152,49,65,49,65,45,45,70,318,grass,2,0
Bayleef,153,62,80,63,80,45,60,70,405,grass,2,0
Meganium,154,82,100,83,100,45,80,70,525,grass,2,0
Cyndaquil,155,52,43,60,50,45,65,70,309,fire,2,0
Quilava,156,64,58,80,65,45,80,70,405,fire,2,0
Typhlosion,157,84,78,109,85,45,100,70,534,fire,2,0
Totodile,158,65,64,44,48,45,43,70,314,water,2,0
Croconaw,159,80,80,59,63,45,58,70,405,water,2,0
Feraligatr,160,105,100,79,83,45,78,70,530,water,2,0
Sentret,161,46,34,35,45,255,20,70,215,normal,2,0
Furret,162,76,64,45,55,90,90,70,415,normal,2,0
Hoothoot,163,30,30,36,56,255,50,70,262,normal,2,0
Noctowl,164,50,50,86,96,90,70,70,452,normal,2,0
Ledyba,165,20,30,40,80,255,55,70,265,bug,2,0
Ledian,166,35,50,55,110,90,85,70,390,bug,2,0
Spinarak,167,60,40,40,40,255,30,70,250,bug,2,0
Ariados,168,90,70,60,70,90,40,70,400,bug,2,0
Crobat,169,90,80,70,80,90,130,70,535,poison,2,0
Chinchou,170,38,38,56,56,190,67,70,330,water,2,0
Lanturn,171,58,58,76,76,75,67,70,460,water,2,0
Pichu,172,40,15,35,35,190,60,70,205,electric,2,0
Cleffa,173,25,28,45,55,150,15,140,218,fairy,2,0
Igglybuff,174,30,15,40,20,170,15,70,210,normal,2,0
Togepi,175,20,65,40,65,190,20,70,245,fairy,2,0
Togetic,176,40,85,80,105,75,40,70,405,fairy,2,0
Natu,177,50,45,70,45,190,70,70,320,psychic,2,0
Xatu,178,75,70,95,70,75,95,70,470,psychic,2,0
Mareep,179,40,40,65,45,235,35,70,280,electric,2,0
Flaaffy,180,55,55,80,60,120,45,70,365,electric,2,0
Ampharos,181,95,105,165,110,45,45,70,610,electric,2,0
Bellossom,182,80,95,90,100,45,50,70,490,grass,2,0
Marill,183,20,50,20,50,190,40,70,250,water,2,0
Azumarill,184,50,80,60,80,75,50,70,420,water,2,0
Sudowoodo,185,100,115,30,65,65,30,70,410,rock,2,0
Politoed,186,75,75,90,100,45,70,70,500,water,2,0
Hoppip,187,35,40,35,55,255,50,70,250,grass,2,0
Skiploom,188,45,50,45,65,120,80,70,340,grass,2,0
Jumpluff,189,55,70,55,95,45,110,70,460,grass,2,0
Aipom,190,70,55,40,55,45,85,70,360,normal,2,0
Sunkern,191,30,30,30,30,235,30,70,180,grass,2,0
Sunflora,192,75,55,105,85,120,30,70,425,grass,2,0
Yanma,193,65,45,75,45,75,95,70,390,bug,2,0
Wooper,194,45,45,25,25,255,15,70,210,water,2,0
Quagsire,195,85,85,65,65,90,35,70,430,water,2,0
Espeon,196,65,60,130,95,45,110,70,525,psychic,2,0
Umbreon,197,65,110,60,130,45,65,35,525,dark,2,0
Murkrow,198,85,42,85,42,30,91,35,405,dark,2,0
Slowking,199,75,80,100,110,70,30,70,490,water,2,0
Misdreavus,200,60,60,85,85,45,85,35,435,ghost,2,0
Unown,201,72,48,72,48,225,48,70,336,psychic,2,0
Wobbuffet,202,33,58,33,58,45,33,70,405,psychic,2,0
Girafarig,203,80,65,90,65,60,85,70,455,normal,2,0
Pineco,204,65,90,35,35,190,15,70,290,bug,2,0
Forretress,205,90,140,60,60,75,40,70,465,bug,2,0
Dunsparce,206,70,70,65,65,190,45,70,415,normal,2,0
Gligar,207,75,105,35,65,60,85,70,430,ground,2,0
Steelix,208,125,230,55,95,25,30,70,610,steel,2,0
Snubbull,209,80,50,40,40,190,30,70,300,fairy,2,0
Granbull,210,120,75,60,60,75,45,70,450,fairy,2,0
Qwilfish,211,95,85,55,55,45,85,70,440,water,2,0
Scizor,212,150,140,65,100,25,75,70,600,bug,2,0
Shuckle,213,10,230,10,230,190,5,70,505,bug,2,0
Heracross,214,185,115,40,105,45,75,70,600,bug,2,0
Sneasel,215,95,55,35,75,60,115,35,430,dark,2,0
Teddiursa,216,80,50,50,50,120,40,70,330,normal,2,0
Ursaring,217,130,75,75,75,60,55,70,500,normal,2,0
Slugma,218,40,40,70,40,190,20,70,250,fire,2,0
Magcargo,219,50,120,90,80,75,30,70,430,fire,2,0
Swinub,220,50,40,30,30,225,50,70,250,ice,2,0
Piloswine,221,100,80,60,60,75,50,70,450,ice,2,0
Corsola,222,55,95,65,95,60,35,70,410,water,2,0
Remoraid,223,65,35,65,35,190,65,70,300,water,2,0
Octillery,224,105,75,105,75,75,45,70,480,water,2,0
Delibird,225,55,45,65,45,45,75,70,330,ice,2,0
Mantine,226,40,70,80,140,25,70,70,485,water,2,0
Skarmory,227,80,140,40,70,25,70,70,465,steel,2,0
Houndour,228,60,30,80,50,120,65,35,330,dark,2,0
Houndoom,229,90,90,140,90,45,115,35,600,dark,2,0
Kingdra,230,95,95,95,95,45,85,70,540,water,2,0
Phanpy,231,60,60,40,40,120,40,70,330,ground,2,0
Donphan,232,120,120,60,60,60,50,70,500,ground,2,0
Porygon2,233,80,90,105,95,45,60,70,515,normal,2,0
Stantler,234,95,62,85,65,45,85,70,465,normal,2,0
Smeargle,235,20,35,20,45,45,75,70,250,normal,2,0
Tyrogue,236,35,35,35,35,75,35,70,210,fighting,2,0
Hitmontop,237,95,95,35,110,45,70,70,455,fighting,2,0
Smoochum,238,30,15,85,65,45,65,70,305,ice,2,0
Elekid,239,63,37,65,55,45,95,70,360,electric,2,0
Magby,240,75,37,70,55,45,83,70,365,fire,2,0
Miltank,241,80,105,40,70,45,100,70,490,normal,2,0
Blissey,242,10,10,75,135,30,55,140,540,normal,2,0
Raikou,243,85,75,115,100,3,115,35,580,electric,2,1
Entei,244,115,85,90,75,3,100,35,580,fire,2,1
Suicune,245,75,115,90,115,3,85,35,580,water,2,1
Larvitar,246,64,50,45,50,45,41,35,300,rock,2,0
Pupitar,247,84,70,65,70,45,51,35,410,rock,2,0
Tyranitar,248,164,150,95,120,45,71,35,700,rock,2,0
Lugia,249,90,130,90,154,3,110,0,680,psychic,2,1
Ho,250,130,90,110,154,3,90,0,680,fire,2,1
Celebi,251,100,100,100,100,45,100,100,600,psychic,2,1
Treecko,252,45,35,65,55,45,70,70,310,grass,3,0
Grovyle,253,65,45,85,65,45,95,70,405,grass,3,0
Sceptile,254,110,75,145,85,45,145,70,630,grass,3,0
Torchic,255,60,40,70,50,45,45,70,310,fire,3,0
Combusken,256,85,60,85,60,45,55,70,405,fire,3,0
Blaziken,257,160,80,130,80,45,100,70,630,fire,3,0
Mudkip,258,70,50,50,50,45,40,70,310,water,3,0
Marshtomp,259,85,70,60,70,45,50,70,405,water,3,0
Swampert,260,150,110,95,110,45,70,70,635,water,3,0
Poochyena,261,55,35,30,30,255,35,70,220,dark,3,0
Mightyena,262,90,70,60,60,127,70,70,420,dark,3,0
Zigzagoon,263,30,41,30,41,255,60,70,240,normal,3,0
Linoone,264,70,61,50,61,90,100,70,420,normal,3,0
Wurmple,265,45,35,20,30,255,20,70,195,bug,3,0
Silcoon,266,35,55,25,25,120,15,70,205,bug,3,0
Beautifly,267,70,50,100,50,45,65,70,395,bug,3,0
Cascoon,268,35,55,25,25,120,15,70,205,bug,3,0
Dustox,269,50,70,50,90,45,65,70,385,bug,3,0
Lotad,270,30,30,40,50,255,30,70,220,water,3,0
Lombre,271,50,50,60,70,120,50,70,340,water,3,0
Ludicolo,272,70,70,90,100,45,70,70,480,water,3,0
Seedot,273,40,50,30,30,255,30,70,220,grass,3,0
Nuzleaf,274,70,40,60,40,120,60,70,340,grass,3,0
Shiftry,275,100,60,90,60,45,80,70,480,grass,3,0
Taillow,276,55,30,30,30,200,85,70,270,normal,3,0
Swellow,277,85,60,75,50,45,125,70,455,normal,3,0
Wingull,278,30,30,55,30,190,85,70,270,water,3,0
Pelipper,279,50,100,95,70,45,65,70,440,water,3,0
Ralts,280,25,25,45,35,235,40,35,198,psychic,3,0
Kirlia,281,35,35,65,55,120,50,35,278,psychic,3,0
Gardevoir,282,85,65,165,135,45,100,35,618,psychic,3,0
Surskit,283,30,32,50,52,200,65,70,269,bug,3,0
Masquerain,284,60,62,100,82,75,80,70,454,bug,3,0
Shroomish,285,40,60,40,60,255,35,70,295,grass,3,0
Breloom,286,130,80,60,60,90,70,70,460,grass,3,0
Slakoth,287,60,60,35,35,255,30,70,280,normal,3,0
Vigoroth,288,80,80,55,55,120,90,70,440,normal,3,0
Slaking,289,160,100,95,65,45,100,70,670,normal,3,0
Nincada,290,45,90,30,30,255,40,70,266,bug,3,0
Ninjask,291,90,45,50,50,120,160,70,456,bug,3,0
Shedinja,292,90,45,30,30,45,40,70,236,bug,3,0
Whismur,293,51,23,51,23,190,28,70,240,normal,3,0
Loudred,294,71,43,71,43,120,48,70,360,normal,3,0
Exploud,295,91,63,91,73,45,68,70,490,normal,3,0
Makuhita,296,60,30,20,30,180,25,70,237,fighting,3,0
Hariyama,297,120,60,40,60,200,50,70,474,fighting,3,0
Azurill,298,20,40,20,40,150,20,70,190,normal,3,0
Nosepass,299,45,135,45,90,255,30,70,375,rock,3,0
Skitty,300,45,45,35,35,255,50,70,260,normal,3,0
Delcatty,301,65,65,55,55,60,90,70,400,normal,3,0
Sableye,302,85,125,85,115,45,20,35,480,dark,3,0
Mawile,303,105,125,55,95,45,50,70,480,steel,3,0
Aron,304,70,100,40,40,180,30,35,330,steel,3,0
Lairon,305,90,140,50,50,90,40,35,430,steel,3,0
Aggron,306,140,230,60,80,45,50,35,630,steel,3,0
Meditite,307,40,55,40,55,180,60,70,280,fighting,3,0
Medicham,308,100,85,80,85,90,100,70,510,fighting,3,0
Electrike,309,45,40,65,40,120,65,70,295,electric,3,0
Manectric,310,75,80,135,80,45,135,70,575,electric,3,0
Plusle,311,50,40,85,75,200,95,70,405,electric,3,0
Minun,312,40,50,75,85,200,95,70,405,electric,3,0
Volbeat,313,73,75,47,85,150,85,70,430,bug,3,0
Illumise,314,47,75,73,85,150,85,70,430,bug,3,0
Roselia,315,60,45,100,80,150,65,70,400,grass,3,0
Gulpin,316,43,53,43,53,225,40,70,302,poison,3,0
Swalot,317,73,83,73,83,75,55,70,467,poison,3,0
Carvanha,318,90,20,65,20,225,65,35,305,water,3,0
Sharpedo,319,140,70,110,65,60,105,35,560,water,3,0
Wailmer,320,70,35,70,35,125,60,70,400,water,3,0
Wailord,321,90,45,90,45,60,60,70,500,water,3,0
Numel,322,60,40,65,45,255,35,70,305,fire,3,0
Camerupt,323,120,100,145,105,150,20,70,560,fire,3,0
Torkoal,324,85,140,85,70,90,20,70,470,fire,3,0
Spoink,325,25,35,70,80,255,60,70,330,psychic,3,0
Grumpig,326,45,65,90,110,60,80,70,470,psychic,3,0
Spinda,327,60,60,60,60,255,60,70,360,normal,3,0
Trapinch,328,100,45,45,45,255,10,70,290,ground,3,0
Vibrava,329,70,50,50,50,120,70,70,340,ground,3,0
Flygon,330,100,80,80,80,45,100,70,520,ground,3,0
Cacnea,331,85,40,85,40,190,35,35,335,grass,3,0
Cacturne,332,115,60,115,60,60,55,35,475,grass,3,0
Swablu,333,40,60,40,75,255,50,70,310,normal,3,0
Altaria,334,110,110,110,105,45,80,70,590,dragon,3,0
Zangoose,335,115,60,60,60,90,90,70,458,normal,3,0
Seviper,336,100,60,100,60,90,65,70,458,poison,3,0
Lunatone,337,55,65,95,85,45,70,70,460,rock,3,0
Solrock,338,95,85,55,65,45,70,70,460,rock,3,0
Barboach,339,48,43,46,41,190,60,70,288,water,3,0
Whiscash,340,78,73,76,71,75,60,70,468,water,3,0
Corphish,341,80,65,50,35,205,35,70,308,water,3,0
Crawdaunt,342,120,85,90,55,155,55,70,468,water,3,0
Baltoy,343,40,55,40,70,255,55,70,300,ground,3,0
Claydol,344,70,105,70,120,90,75,70,500,ground,3,0
Lileep,345,41,77,61,87,45,23,70,355,rock,3,0
Cradily,346,81,97,81,107,45,43,70,495,rock,3,0
Anorith,347,95,50,40,50,45,75,70,355,rock,3,0
Armaldo,348,125,100,70,80,45,45,70,495,rock,3,0
Feebas,349,15,20,10,55,255,80,70,200,water,3,0
Milotic,350,60,79,100,125,60,81,70,540,water,3,0
Castform,351,70,70,70,70,45,70,70,420,normal,3,0
Kecleon,352,90,70,60,120,200,40,70,440,normal,3,0
Shuppet,353,75,35,63,33,225,45,35,295,ghost,3,0
Banette,354,165,75,93,83,45,75,35,555,ghost,3,0
Duskull,355,40,90,30,90,190,25,35,295,ghost,3,0
Dusclops,356,70,130,60,130,90,25,35,455,ghost,3,0
Tropius,357,68,83,72,87,200,51,70,460,grass,3,0
Chimecho,358,50,80,95,90,45,65,70,455,psychic,3,0
Absol,359,150,60,115,60,30,115,35,565,dark,3,0
Wynaut,360,23,48,23,48,125,23,70,260,psychic,3,0
Snorunt,361,50,50,50,50,190,50,70,300,ice,3,0
Glalie,362,120,80,120,80,75,100,70,580,ice,3,0
Spheal,363,40,50,55,50,255,25,70,290,ice,3,0
Sealeo,364,60,70,75,70,120,45,70,410,ice,3,0
Walrein,365,80,90,95,90,45,65,70,530,ice,3,0
Clamperl,366,64,85,74,55,255,32,70,345,water,3,0
Huntail,367,104,105,94,75,60,52,70,485,water,3,0
Gorebyss,368,84,105,114,75,60,52,70,485,water,3,0
Relicanth,369,90,130,45,65,25,55,70,485,water,3,0
Luvdisc,370,30,55,40,65,225,97,70,330,water,3,0
Bagon,371,75,60,40,30,45,50,35,300,dragon,3,0
Shelgon,372,95,100,60,50,45,50,35,420,dragon,3,0
Salamence,373,145,130,120,90,45,120,35,700,dragon,3,0
Beldum,374,55,80,35,60,3,30,35,300,steel,3,0
Metang,375,75,100,55,80,3,50,35,420,steel,3,0
Metagross,376,145,150,105,110,3,110,35,700,steel,3,0
Regirock,377,100,200,50,100,3,50,35,580,rock,3,1
Regice,378,50,100,100,200,3,50,35,580,ice,3,1
Registeel,379,75,150,75,150,3,50,35,580,steel,3,1
Latias,380,100,120,140,150,3,110,90,700,dragon,3,1
Latios,381,130,100,160,120,3,110,90,700,dragon,3,1
Kyogre,382,150,90,180,160,3,90,0,770,water,3,1
Groudon,383,180,160,150,90,3,90,0,770,ground,3,1
Rayquaza,384,180,100,180,100,45,115,0,780,dragon,3,1
Jirachi,385,100,100,100,100,3,100,100,600,steel,3,1
Deoxys,386,95,90,95,90,3,180,0,600,psychic,3,1
Turtwig,387,68,64,45,55,45,31,70,318,grass,4,0
Grotle,388,89,85,55,65,45,36,70,405,grass,4,0
Torterra,389,109,105,75,85,45,56,70,525,grass,4,0
Chimchar,390,58,44,58,44,45,61,70,309,fire,4,0
Monferno,391,78,52,78,52,45,81,70,405,fire,4,0
Infernape,392,104,71,104,71,45,108,70,534,fire,4,0
Piplup,393,51,53,61,56,45,40,70,314,water,4,0
Prinplup,394,66,68,81,76,45,50,70,405,water,4,0
Empoleon,395,86,88,111,101,45,60,70,530,water,4,0
Starly,396,55,30,30,30,255,60,70,245,normal,4,0
Staravia,397,75,50,40,40,120,80,70,340,normal,4,0
Staraptor,398,120,70,50,60,45,100,70,485,normal,4,0
Bidoof,399,45,40,35,40,255,31,70,250,normal,4,0
Bibarel,400,85,60,55,60,127,71,70,410,normal,4,0
Kricketot,401,25,41,25,41,255,25,70,194,bug,4,0
Kricketune,402,85,51,55,51,45,65,70,384,bug,4,0
Shinx,403,65,34,40,34,235,45,70,263,electric,4,0
Luxio,404,85,49,60,49,120,60,100,363,electric,4,0
Luxray,405,120,79,95,79,45,70,70,523,electric,4,0
Budew,406,30,35,50,70,255,55,70,280,grass,4,0
Roserade,407,70,65,125,105,75,90,70,515,grass,4,0
Cranidos,408,125,40,30,30,45,58,70,350,rock,4,0
Rampardos,409,165,60,65,50,45,58,70,495,rock,4,0
Shieldon,410,42,118,42,88,45,30,70,350,rock,4,0
Bastiodon,411,52,168,47,138,45,30,70,495,rock,4,0
Burmy,412,29,45,29,45,120,36,70,224,bug,4,0
Wormadam,413,69,95,69,95,45,36,70,424,bug,4,0
Mothim,414,94,50,94,50,45,66,70,424,bug,4,0
Combee,415,30,42,30,42,120,70,70,244,bug,4,0
Vespiquen,416,80,102,80,102,45,40,70,474,bug,4,0
Pachirisu,417,45,70,45,90,200,95,100,405,electric,4,0
Buizel,418,65,35,60,30,190,85,70,330,water,4,0
Floatzel,419,105,55,85,50,75,115,70,495,water,4,0
Cherubi,420,35,45,62,53,190,35,70,275,grass,4,0
Cherrim,421,60,70,87,78,75,85,70,450,grass,4,0
Shellos,422,48,48,57,62,190,34,70,325,water,4,0
Gastrodon,423,83,68,92,82,75,39,70,475,water,4,0
Ambipom,424,100,66,60,66,45,115,100,482,normal,4,0
Drifloon,425,50,34,60,44,125,70,70,348,ghost,4,0
Drifblim,426,80,44,90,54,60,80,70,498,ghost,4,0
Buneary,427,66,44,44,56,190,85,0,350,normal,4,0
Lopunny,428,136,94,54,96,60,135,140,580,normal,4,0
Mismagius,429,60,60,105,105,45,105,35,495,ghost,4,0
Honchkrow,430,125,52,105,52,30,71,35,505,dark,4,0
Glameow,431,55,42,42,37,190,85,70,310,normal,4,0
Purugly,432,82,64,64,59,75,112,70,452,normal,4,0
Chingling,433,30,50,65,50,120,45,70,285,psychic,4,0
Stunky,434,63,47,41,41,225,74,70,329,poison,4,0
Skuntank,435,93,67,71,61,60,84,70,479,poison,4,0
Bronzor,436,24,86,24,86,255,23,70,300,steel,4,0
Bronzong,437,89,116,79,116,90,33,70,500,steel,4,0
Bonsly,438,80,95,10,45,255,10,70,290,rock,4,0
Mime Jr.,439,25,45,70,90,145,60,70,310,psychic,4,0
Happiny,440,5,5,15,65,130,30,140,220,normal,4,0
Chatot,441,65,45,92,42,30,91,35,411,normal,4,0
Spiritomb,442,92,108,92,108,100,35,70,485,ghost,4,0
Gible,443,70,45,40,45,45,42,70,300,dragon,4,0
Gabite,444,90,65,50,55,45,82,70,410,dragon,4,0
Garchomp,445,170,115,120,95,45,92,70,700,dragon,4,0
Munchlax,446,85,40,40,85,50,5,70,390,normal,4,0
Riolu,447,70,40,35,40,75,60,70,285,fighting,4,0
Lucario,448,145,88,140,70,45,112,70,625,fighting,4,0
Hippopotas,449,72,78,38,42,140,32,70,330,ground,4,0
Hippowdon,450,112,118,68,72,60,47,70,525,ground,4,0
Skorupi,451,50,90,30,55,120,65,70,330,poison,4,0
Drapion,452,90,110,60,75,45,95,70,500,poison,4,0
Croagunk,453,61,40,61,40,140,50,100,300,poison,4,0
Toxicroak,454,106,65,86,65,75,85,70,490,poison,4,0
Carnivine,455,100,72,90,72,200,46,70,454,grass,4,0
Finneon,456,49,56,49,61,190,66,70,330,water,4,0
