set_num,name,year,theme_id,num_parts
10187-1,Volkswagen Beetle (VW Beetle),2008,276,1625
10188-1,Death Star,2008,174,3807
10189-1,Taj Mahal,2008,276,5922
10190-1,Market Street,2007,155,1250
10191-1,Star Justice,2008,397,884
10192-1,Space Skulls,2008,397,956
10193-1,Medieval Market Village,2009,193,1616
10194-1,Emerald Night,2009,240,1089
10195-1,Republic Dropship with AT-OT,2009,165,1757
10196-1,Grand Carousel,2009,276,3260
10197-1,Fire Brigade,2009,155,2236
10198-1,Tantive IV,2009,169,1408
10199-1,Winter Toy Shop,2009,227,815
10-2,Universal Building Set,1976,469,129
10200-1,Custom Car Garage,2008,397,893
10201-1,Takutanuva,2003,347,3
10202-1,Ultimate Dume (Limited Edition with Exclusive Mask Of Power),2004,347,6
10202-2,Ultimate Dume,2004,347,3
10203-1,Voporak,2005,347,3
10204-1,Vezon & Kardas,2006,347,3
10205-1,Locomotive,2002,238,231
102-1,4.5V Motor Set,1968,243,24
10210-1,Imperial Flagship,2010,153,1623
10211-1,Grand Emporium,2010,155,2186
10212-1,Imperial Shuttle - UCS,2010,174,2502
10213-1,Shuttle Adventure,2010,276,1203
10213sup-1,Supplemental Pack for Shuttle Adventure Set 10213,2010,443,29
10214-1,Tower Bridge,2010,276,4295
10215-1,Obi-Wan's Jedi Starfighter - UCS,2010,175,675
10216-1,Winter Village Bakery,2010,227,686
10217-1,Diagon Alley,2011,246,2031
10218-1,Pet Shop,2011,155,2034
10219-1,Maersk Container Train,2011,240,1232
10220-1,Volkswagen T1 Camper Van,2011,276,1333
10221-1,Super Star Destroyer,2011,174,3151
10222-1,Winter Village Post Office,2011,227,821
10223-1,Kingdoms Joust,2012,196,1574
10224-1,Town Hall,2012,155,2771
10225-1,R2-D2,2012,171,2130
10226-1,Sopwith Camel,2012,276,877
10227-1,B-wing Starfighter,2012,174,1484
10228-1,Haunted House,2012,558,2062
10229-1,Winter Village Cottage,2012,227,1490
10230-1,Mini Modulars,2012,156,1358
10231-1,Shuttle Expedition,2011,276,1229
10232-1,Palace Cinema,2013,155,2192
10233-1,Horizon Express,2013,240,1349
10234-1,Sydney Opera House,2013,276,2988
10235-1,Winter Village Market [Initial Release],2013,227,1259
10236-1,Ewok Village,2013,169,2023
10237-1,The Tower of Orthanc,2013,568,2360
10240-1,Red Five X-Wing Starfighter,2013,174,1573
10241-1,Maersk Line Triple-E,2014,38,1515
10242-1,Mini Cooper,2014,22,1074
10242-2,Mini Cooper,2015,22,1076
10243-1,Parisian Restaurant,2014,155,2469
10244-1,Fairground Mixer,2014,22,1743
10245-1,Santa’s Workshop,2014,228,882
1024601-1,Adventurers Value Pack (TRU Exclusive),2001,297,3
10246-1,Detective’s Office,2015,155,2261
10247-1,Ferris Wheel,2015,22,2463
10248-1,Ferrari F40,2015,22,1157
10249-1,Winter Toy Shop,2015,227,895
10250-1,Year Of The Snake,2013,22,244
10251-1,Brick Bank,2016,155,2383
10252-1,Volkswagen Beetle,2016,22,1166
10253-1,Big Ben,2016,43,4166
10254-1,Winter Holiday Train,2016,227,737
10255-1,Assembly Square,2017,155,4009
10257-1,Carousel,2017,22,2669
10285-1,Compass Sensor for Mindstorms NXT,2011,259,1
10287-1,Intelligent NXT Brick (Black),2009,259,1
1029-1,Milk Delivery Truck - Tine,1999,75,90
102A-1,Front-End Loader,1970,416,64
102A-2,Front-End Loader,1970,416,56
10-3,Locomotive Wheels,1977,456,8
1030-1,TECHNIC I: Simple Machines Set,1985,1,189
103-1,4.5V Motor Set with Rubber Tracks,1969,473,24
1031-1,Building Cards - 1030,1983,532,20
1032-1,TECHNIC II Set {4.5v},1985,1,278
1033-1,Building Cards - 1032,1985,532,20
1034-1,Teachers Resource Set,1985,532,1534
1038-1,ERBIE the Robo-Car,1985,1,120
1039-1,Manual Control Set 1,1986,1,39
104-1,Replacement 4.5V Motor,1970,243,1
1045-2,Educational LEGO Building Set,1976,511,683
1049-1,Ships - 247 elements and 1 poster,1985,510,238
10500-1,Horse Stable,2013,504,44
10501-1,Zoo friends,2013,504,5
10504-1,My First Circus,2013,504,62
10505-1,Play House,2013,504,83
10506-1,Train Accessory Set,2013,504,24
10507-1,My First Train Set,2013,504,52
10508-1,Deluxe Train Set,2013,504,134
10509-1,Dusty and Chug,2013,504,16
105-1,Canada Post Truck,1984,81,65
10510-1,Ripslinger's Air Race,2013,504,40
10511-1,Skipper's Flight School,2013,504,49
10512-1,Jake's Treasure Hunt,2013,504,22
10513-1,Never Land Hideout,2013,504,37
10514-1,Jake's Pirate Ship Bucky,2013,504,56
10515-1,Ariel's Undersea Castle,2013,504,39
10516-1,Ariel's Magical Boat Ride,2012,504,29
10517-1,My First Garden,2013,504,37
10518-1,My First Construction Site,2013,504,47
105-2,Building Set,1973,469,150
10520-1,Big Front Loader,2013,504,12
10521-1,Baby Calf,2014,504,9
10522-1,Farm Animals,2014,504,12
10524-1,Farm Tractor,2014,504,29
10525-1,Big Farm,2014,504,121
10526-1,Peter Pan's Visit,2014,504,39
10527-1,Ambulance,2014,504,14
10528-1,School Bus,2014,504,26
10529-1,Truck,2014,504,16
1053-1,Community Buildings,1984,533,895
10531-1,Mickey Mouse and Friends,2012,504,65
10532-1,My First Police Set,2014,504,39
10538-1,Fire and Rescue Team,2014,506,30
10539-1,Beach Racing,2014,504,36
1054-1,Stena Line Ferry,1999,471,211
10542-1,Sleeping Beauty's Fairy Tale,2014,579,55
10543-1,Superman™ Rescue,2014,504,19
10544-1,The Joker Challenge,2014,504,40
10545-1,Batcave Adventure,2014,504,59
10546-1,My First Shop,2014,504,39
10550-1,Circus Transport,2013,504,9
10552-1,Creative Cars,2013,504,42
10553-1,Toddler Build and Play Cubes,2013,505,17
10554-1,Toddler Build and Pull Along,2013,505,15
10555-1,Creative Bucket,2013,505,65
10557-1,Giant Tower,2013,504,200
10558-1,Number Train,2013,504,31
1056-1,Basic School Pack - 773 elements with teacher's manual,1985,534,785
10561-1,Toddler Starter Building Set,2013,505,37
10565-1,LEGO® DUPLO® Creative Suitcase,2014,504,135
10566-1,Creative Picnic,2014,504,52
10567-1,Toddler Build and Boat Fun,2014,504,18
10568-1,Knight Tournament,2014,504,16
10569-1,Treasure Attack,2014,504,46
10570-1,LEGO® DUPLO® All-in-One-Gift-Set,2014,504,30
10571-1,All-in-One-Pink-Box-of-Fun,2014,504,65
10572-1,All-in-One-Box-of-Fun,2014,504,65
10573-1,Creative Animals,2014,504,25
10574-1,Creative Ice Cream,2014,504,23
10575-1,Duplo Creative Building Cube,2014,504,75
10576-1,Zoo Care,2014,504,9
10577-1,Big Royal Castle,2014,504,135
10579-1,Clubhouse Café,2014,504,16
10580-1,Deluxe Box of Fun,2014,504,95
10581-1,Forest: Ducks,2015,504,13
10582-1,Forest: Animals,2015,504,39
10583-1,Forest: Fishing Trip,2015,504,30
10584-1,Forest: Park,2015,504,102
10585-1,Mom and Baby,2015,504,13
10586-1,Ice Cream Truck,2015,504,11
10587-1,Café,2015,504,51
10589-1,Rally Car,2015,504,13
10590-1,Airport,2015,504,29
10591-1,Fire Boat,2015,504,19
10592-1,Fire Truck,2015,504,26
10593-1,Fire Station,2015,504,104
10594-1,Sofia the First™ Royal Stable,2015,504,38
10595-1,Sofia the First™ Royal Castle,2015,504,87
10596-1,Disney Princess™ Collection,2015,504,63
10597-1,Mickey & Minnie Birthday Parade,2015,504,24
10599-1,Batman Adventure,2015,504,46
10600-1,Disney • Pixar Cars™ Classic Race,2015,506,29
1060-1,Road Plates and Signs,1981,533,30
10601-1,Delivery Vehicle,2015,504,19
10602-1,Camping,2015,504,37
10603-1,My First Bus,2015,504,17
10604-1,Jake and the Never Land Pirates Treasure Island,2015,504,25
10605-1,Doc McStuffins Rosie the Ambulance,2015,504,16
10606-1,Doc McStuffins Backyard Clinic,2015,504,39
10607-1,Spider-Man Web-Bike Workshop,2015,504,13
10608-1,Spider-Man Spider Truck Adventure,2015,504,28
106-1,UNICEF Van,1985,79,59
1061-1,Single Disk Pack,2000,20,1
10615-1,My First Tractor,2015,504,12
10616-1,My First Playhouse,2015,504,25
10617-1,My First Farm,2015,504,26
10618-1,LEGO® DUPLO® Creative Building Box,2015,504,69
1062-1,{Town Vehicles},1980,533,158
10622-1,Large Creative Box,2015,504,193
10623-1,Basic Bricks – Large,2015,505,0
1063-1,Community Workers,1985,533,169
1064-1,Dacta Buildings,1981,533,0
1065-1,House Accessories - 182 elements,1985,534,196
10654-1,XL Creative Brick Box,2016,365,1599
10655-1,Monster Trucks,2013,37,197
10656-1,My First LEGO Princess,2013,22,88
10657-1,My First LEGO Set,2013,37,148
10659-1,Blue Suitcase,2013,37,152
10660-1,Pink Suitcase,2013,37,157
1066-1,36 Little People + Accessories,1982,533,174
10661-1,My First LEGO Fire Station,2013,22,90
10662-1,LEGO Creative Bucket,2013,37,607
10663-1,LEGO Creative Chest,2013,22,607
10664-1,Creative Tower,2013,22,1599
10665-1,Spider-Man: Spider-Car Pursuit,2014,591,55
10666-1,Digger,2014,591,75
10667-1,Construction,2014,591,159
10668-1,The Princess Play Castle,2014,591,149
10669-1,Turtle Lair,2014,591,107
1067-1,Community Vehicles,1988,507,251
10671-1,Fire Emergency,2014,591,123
10672-1,Batman: Defend the Batcave,2014,591,150
10673-1,Race Car Rally,2014,591,349
10674-1,Pony Farm,2014,591,305
10675-1,Police – The Big Escape,2014,591,146
10676-1,Knights’ Castle,2014,591,479
10677-1,Beach Excursion,2015,591,74
10679-1,Pirate Treasure Hunt,2015,591,57
10680-1,Garbage Truck,2015,591,99
1068-1,Air Patrol,1999,87,20
10681-1,Creative Building Cube,2014,37,599
10682-1,Creative Suitcase,2014,37,1016
10683-1,Road Work Truck,2015,591,132
10684-1,Supermarket Suitcase,2015,591,132
10685-1,Fire Suitcase,2015,591,113
10686-1,Family House,2015,591,226
10687-1,Spider-Man™ Hideout,2015,591,137
1069-1,Speedboat,1999,77,22
10692-1,Creative Bricks,2015,366,220
10693-1,Creative Supplement,2015,366,302
10693-1-s1,Rocket,2015,365,12
10694-1,Creative Supplement Bright,2015,366,302
10695-1,Creative Building Box,2015,366,579
10696-1,Medium Creative Brick Box,2015,366,483
10697-1,XXXL Box,2015,365,1499
10698-1,Large Creative Brick Box,2015,366,789
10699-1,Sand Baseplate,2015,365,1
10700-1,Green Baseplate,2015,365,1
1070-1,Stunt Flyer,1999,87,20
10701-1,Gray Baseplate,2015,365,1
10702-1,Creative Building Set,2016,365,582
10703-1,Creative Builder Box,2017,365,499
10704-1,Creative Box,2017,365,900
10705-1,Creative Building Basket,2016,366,999
10706-1,Blue Creative Box,2017,365,78
10707-1,Red Creative Box,2017,365,55
10708-1,Green Creative Box,2017,365,66
10709-1,Orange Creative Box,2017,365,60
107-1,4.5V Motor Set,1976,473,31
107-2,Canada Post Mail Truck,1985,81,138
10720-1,Police Helicopter Chase,2016,591,63
10721-1,Iron Man vs Loki,2016,591,66
10722-1,Snake Showdown,2016,591,92
10723-1,Ariel's Dolphin Carriage,2016,591,70
10724-1,Batman & Superman vs. Lex Luthor,2016,482,164
10725-1,Lost Temple,2016,591,171
10726-1,Stephanie's Horse Carriage,2016,496,58
10727-1,Emma's Ice Cream Truck,2016,494,136
10728-1,Mia's Vet Clinic,2016,494,182
10729-1,Cinderella's Carriage,2016,591,116
10734-1,Demolition Site,2017,591,162
10735-1,Police Truck Chase,2017,591,90
10736-1,Anna & Elsa's Frozen Playground,2017,591,94
10737-1,Batman vs. Mr. Freeze,2017,591,63
10740-1,Fire Patrol Suitcase,2017,591,108
10746-1,Mia's Farm Suitcase,2017,591,104
10747-1,Andrea and Stephanie's Beach Holiday,2017,591,141
1075-1,LEGO People Supplementary Set,1980,511,256
1076-1,Advent Calendar 1999,1999,207,228
1076-10,Advent Calendar 1999 (Day  9) Fire Engine,1999,217,10
1076-11,Advent Calendar 1999 (Day 10) Santa Minifig,1999,217,5
1076-12,Advent Calendar 1999 (Day 11) Dog,1999,217,8
1076-13,Advent Calendar 1999 (Day 12) Hippo,1999,217,9
1076-14,Advent Calendar 1999 (Day 13) Hovercraft,1999,217,10
1076-15,Advent Calendar 1999 (Day 14) Penguin,1999,217,8
1076-16,Advent Calendar 1999 (Day 15) Elf,1999,217,12
1076-17,Advent Calendar 1999 (Day 16) Seaplane,1999,217,10
1076-18,Advent Calendar 1999 (Day 17) Gentleman,1999,217,10
1076-19,Advent Calendar 1999 (Day 18) Elephant,1999,217,10
1076-2,Advent Calendar 1999 (Day  1) Plane,1999,217,11
1076-20,Advent Calendar 1999 (Day 19) Sea Plane,1999,217,8
1076-21,Advent Calendar 1999 (Day 20) Cow,1999,217,10
1076-22,Advent Calendar 1999 (Day 21) Police Car,1999,217,11
1076-23,Advent Calendar 1999 (Day 22) Dog with Red Hat,1999,217,12
1076-24,Advent Calendar 1999 (Day 23) Police Helicopter,1999,217,10
1076-25,Advent Calendar 1999 (Day 24) Santa,1999,217,11
1076-3,Advent Calendar 1999 (Day  2) Snowman,1999,217,11
1076-4,Advent Calendar 1999 (Day  3) Speedboat,1999,217,7
1076-5,Advent Calendar 1999 (Day  4) Girl,1999,217,8
1076-6,Advent Calendar 1999 (Day  5) Sailboat,1999,217,9
1076-7,Advent Calendar 1999 (Day  6) Reindeer,1999,217,12
1076-8,Advent Calendar 1999 (Day  7) Plane,1999,217,10
1076-9,Advent Calendar 1999 (Day  8) Girl,1999,217,8
1077-1,Supplementary Set,1976,528,170
10801-1,Baby Animals,2016,504,13
10802-1,Savanna,2016,504,15
10803-1,Arctic,2016,504,32
10804-1,Jungle,2016,504,86
10805-1,Around the World,2016,504,148
10806-1,Horses,2016,504,20
10808-1,Little Plane,2016,504,13
108-1,Battery Box,1976,243,1
10810-1,Push Train,2016,504,46
10813-1,Big Construction Site,2016,504,48
10814-1,Tow Truck Set,2016,504,26
10818-1,My First Truck,2016,504,29
10820-1,"Lego Duplo Creative Building Basket, Multi Color",2016,504,110
10824-1,Miles' Space Adventures,2017,504,23
10825-1,Miles' Exo-Flex Suit,2016,504,37
10827-1,Mickey and Friends Beach House,2016,504,48
10829-1,Mickey's Workshop,2016,504,18
10830-1,Minnie's Cafe,2016,504,27
1083-1,Supplementary Pack,1986,534,106
10831-1,My First Caterpillar,2016,504,19
10847-1,My First Number Train,2017,504,19
10849-1,My First Plane,2017,504,10
10852-1,My First Bird,2017,504,7
1088-1,Road Burner,1999,87,25
1089-1,Lego Basic Figures - 24 elements,1985,534,24
1090-1,TECHNIC Control I,1986,1,397
1092-1,TECHNIC Control II,1986,1,467
10937-1,Arkham Asylum Breakout,2012,484,1619
1094-1,Johnny Thunder,1999,297,13
1095-1,Super Sub,1999,311,24
1096-1,Race Buggy,1997,82,23
1097-1,Res-Q Runner,1999,92,18
1098-1,Hang Glider,1998,87,19
1099-1,Ninja Blaster,1999,434,24
1-10,Mini-Wheel Model Maker No. 1,1971,423,86
1100-1,Sky Pirates,2001,68,110
110-1,Universal Building Set,1977,469,129
1101-1,Replacement 4.5V Motor,1977,443,1
1102-1,Motor Bushes,1977,456,4
1103-1,Battery Box,1977,443,1
1103-2,DNA Student Set,2008,517,521
1104-1,Battery Cables (75cm),1977,443,2
1105-1,Crawler Tracks,1977,443,2
1106-1,Battery Tender,1977,456,2
1106-2,Basic Building Set,1999,470,413
1107-1,Signal and Direction-Change Switch,1977,456,4
1108-1,Magnetic Couplings,1977,456,4
1109-1,Magnetic Couplings for Railway Car,1977,456,4
1-11,Basic Souvenir Box,1981,469,36
1110-1,Train Wheels,1977,456,8
111-1,Universal Building Set,1977,469,173
1111-1,Rubber Rims for Locomotive Wheels,1977,456,8
111-2,Starter Train Set without Motor,1966,235,118
1112-1,Train Sliding Wheel Blocks,1977,456,2
1113-1,Motor Frame and Couplers,1977,443,5
1114-1,Motor Frame,1977,443,1
1115-1,4.5V Lighting Brick (2 x 2),1977,443,1
1116-1,"Chain Links, Small",1977,443,25
1118-1,"Boat Weight, Red",1977,443,1
1119-1,Locomotive Piston Assemblies,1977,456,6
11-2,Small Pre-School Basic Set,1973,433,31
1120-1,Tires (42 mm),1977,443,2
112-1,Universal Building Set,1977,469,200
1121-1,"Propellers, Wheels and Rotor Unit",1977,443,15
112-2,Locomotive with Motor,1966,235,74
1122-1,Hinges,1977,443,3
1123-1,"Ball and Socket Couplings, Articulated Joint",1977,443,8
1124-1,Digger Bucket,1977,443,3
1125-1,Crane Grab,1977,443,3
1126-1,"Jack Complete Assembly, Blue",1983,443,1
1127-1,Santa,1999,227,39
1128-1,Santa on Skis,1997,227,21
1129-1,Storage Cloth (Spread Bag),1980,473,1
1129-2,Santa on Reindeer,1999,227,34
11-3,Locomotive Traction Tires,1977,456,8
1130-1,Storage Folder for Building Instructions (16 Internal Pockets),1980,443,1
113-1,Universal Building Set,1977,469,293
1131-1,Tires (42 mm) and Hubs,1981,453,4
113-2,Motorized Train Set,1966,235,344
1132-1,Hinges,1981,443,8
1133-1,Brick Hinges,1981,443,8
1134-1,Battery Wagon,1981,456,2
1135-1,"Battery Cable Kit: 12 Connectors, 3m Cable",1981,443,13
1135-2,"Battery Cable Kit: 16 Connectors, 3m Cable",1981,443,17
1135-3,"Battery Cable Kit: 20 Connectors, 3m Cable",1981,443,21
1136-1,"Buffers, Magnetic Couplers",1981,456,6
1137-1,Train Couplings,1981,456,4
1138-1,Replacement Rubber Wheel Treads for Trains,1981,456,8
1139-1,Motor-Mount Plate with Magnetic Couplers,1981,456,5
1140-1,12V Light Bricks,1981,443,2
114-1,Universal Building Set,1977,469,390
1141-1,Wheel Bricks with Small Red Train Wheels,1981,456,2
114-2,Small Train Set,1966,235,88
1142-1,Wheel Bricks with Small Black Train-Wheels,1981,456,2
1143-1,Wheel Bricks with Large Red Train Wheels,1981,456,2
1144-1,Train Baseplate,1981,456,1
1145-1,Bogie Plate,1981,456,1
1146-1,"Pushrods, Cylinder Housings",1981,456,6
1147-1,"Light Prisms & Holder, Red/Yellow Light Covers",1981,456,7
1148-1,Differential,1981,453,5
1149-1,Air Police,2002,100,24
1149-2,Bulldozer Chainlinks,1982,453,52
1150-1,Replacement Motor 12V,1977,443,1
115-1,Building Set,1973,469,190
1151-1,Train Power Pick-Up Blocks,1977,456,2
115-2,Starter Train Set with Motor,1966,235,132
1152-1,Electric Wire,1977,456,2
1154-1,Battery Control Unit,1986,453,1
1160-1,"TECHNIC Pneumatic Tubing, 40cm +100cm",1985,453,2
116-1,Starter Train Set with Motor,1967,235,364
1161-1,TECHNIC Pneumatic Pump Cylinder 48mm,1985,453,1
116-2,Deluxe Motorized Train Set,1968,235,361
1162-1,TECHNIC Pneumatic Piston Cylinder 48mm,1985,453,1
1163-1,TECHNIC Pneumatic Piston Cylinder 60mm,1985,453,1
1164-1,TECHNIC Pneumatic 2 Way Valve and Nonreturn Valve,1985,453,2
1168-1,Battery Box,1986,1,1
1169-1,Bogie Plates,1986,456,2
1170-1,Replacement Train Battery Tender,1986,456,2
117-1,Locomotive without Motor,1967,235,99
1171-1,Lighting Brick with Red and Blue Globes,1986,443,5
1172-1,Colored Globes,1986,443,5
1174-1,Motorhome for Basic Motor 4.5V/Train Motor 12V,1986,443,2
1175-1,4.5v TECHNIC Motor,1982,453,1
1176-1,Gear Racks and Turntables,1978,453,6
1177-1,Santa In Truck with Polar Bear,2000,227,26
1178-1,"Siren, Black",1986,443,1
1179-1,Replacement Space Siren,1986,443,1
1180-1,Space Port Moon Buggy,1999,93,25
118-1,Electronic Train,1968,235,103
1181-1,Space Port Spacecraft,1999,93,23
118-2,Small Train Set,1968,235,117
1182-1,Adventurers Raft,1999,297,18
118-3,Motorized Freight or Passenger Train (Sears Exclusive),1969,235,419
1183-1,Mummy and Cart,1999,297,17
1184-1,Cart,1999,434,24
1185-1,Raft,1999,434,25
1186-1,Cart,1999,434,25
1187-1,Glider,1999,434,23
1188-1,Fire Formula,1999,87,38
1189-1,Rocket Boat,1999,87,30
