set_num,matte,transparent
10577-1,134.0,1.0
10579-1,16.0,0.0
10580-1,93.0,2.0
10581-1,13.0,0.0
10582-1,39.0,0.0
10583-1,29.0,1.0
10584-1,102.0,0.0
10585-1,13.0,0.0
10586-1,11.0,0.0
10587-1,51.0,0.0
10589-1,13.0,0.0
10590-1,29.0,0.0
10591-1,17.0,2.0
10592-1,25.0,1.0
10593-1,103.0,1.0
10594-1,38.0,0.0
10595-1,86.0,1.0
10596-1,62.0,1.0
10597-1,24.0,0.0
10599-1,46.0,0.0
10600-1,28.0,1.0
1060-1,30.0,0.0
10601-1,19.0,0.0
10602-1,36.0,1.0
10603-1,17.0,0.0
10604-1,25.0,0.0
10605-1,15.0,1.0
10606-1,39.0,0.0
10607-1,13.0,0.0
10608-1,27.0,1.0
106-1,54.0,5.0
1061-1,1.0,0.0
10615-1,12.0,0.0
10616-1,25.0,0.0
10617-1,26.0,0.0
10618-1,69.0,0.0
1062-1,152.0,6.0
10622-1,191.0,2.0
10623-1,0.0,0.0
1063-1,142.0,27.0
1064-1,0.0,0.0
1065-1,184.0,18.0
10654-1,1602.0,13.0
10655-1,180.0,27.0
10656-1,90.0,5.0
10657-1,137.0,17.0
10659-1,150.0,7.0
10660-1,152.0,11.0
1066-1,174.0,0.0
10661-1,79.0,15.0
10662-1,601.0,6.0
10663-1,583.0,33.0
10664-1,1602.0,13.0
10665-1,51.0,4.0
10666-1,73.0,2.0
10667-1,155.0,5.0
10668-1,156.0,5.0
10669-1,106.0,3.0
1067-1,227.0,24.0
10671-1,109.0,16.0
10672-1,139.0,12.0
10673-1,337.0,13.0
10674-1,306.0,0.0
10675-1,128.0,18.0
10676-1,478.0,4.0
10677-1,77.0,2.0
10679-1,55.0,2.0
10680-1,88.0,11.0
1068-1,20.0,2.0
10681-1,589.0,11.0
10682-1,990.0,27.0
10683-1,121.0,11.0
10684-1,122.0,10.0
10685-1,88.0,25.0
10686-1,219.0,15.0
10687-1,126.0,11.0
1069-1,21.0,1.0
10692-1,226.0,5.0
10693-1,293.0,14.0
10693-1-s1,10.0,2.0
10694-1,299.0,10.0
10695-1,553.0,45.0
10696-1,469.0,15.0
10697-1,1440.0,75.0
10698-1,774.0,30.0
10699-1,1.0,0.0
10700-1,1.0,0.0
1070-1,19.0,1.0
10701-1,1.0,0.0
10702-1,541.0,42.0
10703-1,456.0,43.0
10704-1,863.0,37.0
10705-1,948.0,52.0
10706-1,74.0,5.0
10707-1,55.0,1.0
10708-1,66.0,1.0
10709-1,62.0,2.0
107-1,31.0,0.0
107-2,129.0,9.0
10720-1,55.0,10.0
10721-1,54.0,12.0
10722-1,76.0,17.0
10723-1,60.0,14.0
10724-1,145.0,20.0
10725-1,146.0,25.0
10726-1,62.0,0.0
10727-1,120.0,16.0
10728-1,164.0,18.0
10729-1,119.0,10.0
10734-1,148.0,14.0
10735-1,79.0,11.0
10736-1,78.0,20.0
10737-1,53.0,10.0
10740-1,90.0,18.0
10746-1,109.0,2.0
10747-1,140.0,9.0
1075-1,256.0,0.0
1076-1,208.0,20.0
1076-10,8.0,2.0
1076-11,5.0,0.0
1076-12,8.0,0.0
1076-13,9.0,0.0
1076-14,9.0,1.0
1076-15,8.0,0.0
1076-16,11.0,1.0
1076-17,7.0,3.0
1076-18,10.0,0.0
1076-19,10.0,0.0
1076-2,8.0,3.0
1076-20,7.0,1.0
1076-21,10.0,0.0
1076-22,9.0,2.0
1076-23,12.0,0.0
1076-24,8.0,2.0
1076-25,11.0,0.0
1076-3,11.0,0.0
1076-4,6.0,1.0
1076-5,8.0,0.0
1076-6,8.0,1.0
1076-7,12.0,0.0
1076-8,7.0,3.0
1076-9,8.0,0.0
1077-1,156.0,14.0
10801-1,13.0,0.0
10802-1,15.0,0.0
10803-1,29.0,3.0
10804-1,85.0,1.0
10805-1,143.0,5.0
10806-1,20.0,0.0
10808-1,13.0,0.0
108-1,1.0,0.0
10810-1,46.0,0.0
10813-1,44.0,4.0
10814-1,26.0,0.0
10818-1,29.0,0.0
10820-1,110.0,0.0
10824-1,21.0,2.0
10825-1,32.0,5.0
10827-1,48.0,0.0
10829-1,18.0,0.0
10830-1,27.0,0.0
1083-1,104.0,2.0
10831-1,19.0,0.0
10847-1,19.0,0.0
10849-1,10.0,0.0
10852-1,7.0,0.0
1088-1,25.0,0.0
1089-1,24.0,0.0
1090-1,396.0,1.0
1092-1,461.0,6.0
10937-1,1591.0,101.0
1094-1,13.0,0.0
1095-1,23.0,1.0
1096-1,23.0,0.0
1097-1,17.0,1.0
1098-1,19.0,0.0
1099-1,24.0,0.0
1-10,80.0,6.0
1100-1,102.0,11.0
110-1,125.0,4.0
1101-1,1.0,0.0
1102-1,4.0,0.0
1103-1,1.0,0.0
1103-2,521.0,0.0
1104-1,2.0,0.0
1105-1,2.0,0.0
1106-1,2.0,0.0
1106-2,404.0,9.0
1107-1,4.0,0.0
1108-1,4.0,0.0
1109-1,4.0,0.0
1-11,35.0,1.0
1110-1,8.0,0.0
111-1,169.0,4.0
1111-1,8.0,0.0
111-2,116.0,2.0
1112-1,2.0,0.0
1113-1,5.0,0.0
1114-1,1.0,0.0
1115-1,1.0,0.0
1116-1,25.0,0.0
1118-1,1.0,0.0
1119-1,6.0,0.0
11-2,32.0,0.0
1120-1,2.0,0.0
112-1,196.0,4.0
1121-1,15.0,0.0
112-2,72.0,2.0
1122-1,3.0,0.0
1123-1,8.0,0.0
1124-1,3.0,0.0
1125-1,3.0,0.0
1126-1,1.0,0.0
1127-1,40.0,0.0
1128-1,21.0,0.0
1129-1,1.0,0.0
1129-2,34.0,0.0
11-3,8.0,0.0
1130-1,1.0,0.0
113-1,287.0,6.0
1131-1,4.0,0.0
113-2,306.0,38.0
1132-1,8.0,0.0
1133-1,8.0,0.0
1134-1,2.0,0.0
1135-1,13.0,0.0
1135-2,17.0,0.0
1135-3,21.0,0.0
1136-1,6.0,0.0
1137-1,4.0,0.0
1138-1,8.0,0.0
1139-1,5.0,0.0
1140-1,2.0,0.0
114-1,382.0,8.0
1141-1,2.0,0.0
114-2,87.0,1.0
1142-1,2.0,0.0
1143-1,2.0,0.0
1144-1,1.0,0.0
1145-1,1.0,0.0
1146-1,6.0,0.0
1147-1,1.0,6.0
1148-1,5.0,0.0
1149-1,22.0,2.0
1149-2,52.0,0.0
1150-1,1.0,0.0
115-1,184.0,6.0
1151-1,2.0,0.0
115-2,130.0,2.0
1152-1,2.0,0.0
1154-1,1.0,0.0
1160-1,2.0,0.0
116-1,336.0,28.0
1161-1,1.0,0.0
116-2,333.0,28.0
1162-1,1.0,0.0
1163-1,1.0,0.0
1164-1,2.0,0.0
1168-1,1.0,0.0
1169-1,2.0,0.0
1170-1,2.0,0.0
117-1,95.0,4.0
1171-1,1.0,4.0
1172-1,1.0,4.0
1174-1,2.0,0.0
1175-1,1.0,0.0
1176-1,6.0,0.0
1177-1,26.0,1.0
1178-1,1.0,0.0
1179-1,1.0,0.0
1180-1,24.0,3.0
118-1,98.0,5.0
1181-1,20.0,6.0
118-2,115.0,2.0
1182-1,20.0,0.0
118-3,409.0,10.0
1183-1,14.0,3.0
1184-1,24.0,0.0
1185-1,25.0,0.0
1186-1,26.0,0.0
1187-1,25.0,0.0
1188-1,35.0,3.0
1189-1,25.0,5.0
1190-1,84.0,6.0
11905-1,374.0,14.0
11908-1,71.0,10.0
11909-1,72.0,3.0
119-1,391.0,10.0
11910-1,88.0,24.0
1191-1,32.0,3.0
11912-1,75.0,3.0
1194-1,408.0,2.0
1195-1,39.0,7.0
1196-1,6.0,2.0
1197-1,25.0,9.0
1197-2,2.0,0.0
1198-1,72.0,4.0
1199-1,93.0,17.0
11995-1,0.0,0.0
1200-1,1.0,0.0
1200-2,1.0,0.0
1200M-1,1.0,0.0
120-1,161.0,2.0
1202-1,1.0,0.0
1203-1,8.0,0.0
1204-1,10.0,0.0
120438-1,173.0,5.0
1205-1,2.0,0.0
1206-1,10.0,0.0
1207-1,2.0,0.0
1208-1,16.0,0.0
1209-1,10.0,0.0
12-1,8.0,0.0
1210-1,3.0,0.0
1210-2,30.0,0.0
121-1,23.0,0.0
1211-1,8.0,0.0
1211-2,19.0,0.0
1212-1,6.0,0.0
1212-2,21.0,0.0
1213-1,5.0,0.0
1213-2,23.0,0.0
1214-1,1.0,0.0
1214-2,24.0,0.0
1215-1,1.0,0.0
1215-2,20.0,0.0
1216-1,8.0,0.0
1216-2,20.0,0.0
1217-1,20.0,0.0
1217-2,52.0,0.0
1218-1,20.0,0.0
1218-2,60.0,0.0
1219-1,20.0,0.0
1219-2,80.0,0.0
1220-1,20.0,0.0
1220-2,104.0,0.0
122-1,88.0,8.0
1221-1,8.0,0.0
1221-2,160.0,0.0
1222-1,8.0,0.0
1222-2,160.0,40.0
1223-1,8.0,0.0
1223-2,11.0,3.0
1223-3,80.0,20.0
1224-1,8.0,0.0
1224.1-1,8.0,0.0
1224-2,8.0,0.0
1224A-1,36.0,0.0
1225-1,32.0,0.0
1225-2,12.0,0.0
1226-1,12.0,0.0
1226-2,4.0,0.0
1227-1,15.0,0.0
1227-2,5.0,0.0
1228-1,28.0,0.0
1228-2,5.0,0.0
1229-1,70.0,0.0
12-3,2.0,0.0
1230-1,54.0,0.0
1230-2,7.0,0.0
123-1,74.0,24.0
1231-1,4.0,0.0
1231-2,10.0,0.0
1231-3,10.0,0.0
1232-1,46.0,0.0
1233-1,34.0,0.0
1233-2,4.0,0.0
1234-1,21.0,0.0
1234-3,1.0,0.0
1235-1,19.0,0.0
1235-2,3.0,0.0
1236-1,4.0,0.0
1236-2,59.0,0.0
1236-3,1.0,0.0
1237-1,55.0,0.0
1239-1,4.0,0.0
1239-2,8.0,0.0
1240-1,16.0,0.0
1240-2,8.0,0.0
124-1,56.0,0.0
1241-1,4.0,0.0
1241-2,8.0,0.0
1242-1,4.0,0.0
1242-2,5.0,0.0
1242D-1,5.0,0.0
1243-1,9.0,0.0
1244-1,2.0,0.0
1245-1,2.0,0.0
1245-2,2.0,1.0
1246-1,24.0,5.0
1247-1,25.0,8.0
1247-2,8.0,0.0
1248-1,22.0,2.0
1248-2,6.0,0.0
1249-1,12.0,7.0
1250-1,24.0,0.0
125-1,20.0,0.0
1251-1,25.0,0.0
125-2,232.0,2.0
1252-1,99.0,7.0
1253-1,90.0,12.0
1254-1,144.0,25.0
1255-1,123.0,15.0
1256-1,156.0,10.0
1257-1,33.0,0.0
1258-1,33.0,0.0
1259-1,32.0,0.0
1260-1,27.0,1.0
1260-2,24.0,0.0
126-1,58.0,2.0
1263-1,33.0,0.0
1264-1,31.0,0.0
1265-1,24.0,3.0
1266-1,20.0,6.0
1267-1,4.0,0.0
1268-1,32.0,0.0
1269-1,23.0,0.0
1270-2,16.0,0.0
127-1,337.0,28.0
1271-1,32.0,1.0
1271-2,6.0,0.0
1272-1,24.0,0.0
1273-1,20.0,0.0
1274-1,21.0,4.0
1275-1,22.0,0.0
1276-1,21.0,1.0
1277-1,25.0,2.0
1278-1,23.0,0.0
1279-1,21.0,0.0
1280-1,27.0,2.0
128-1,35.0,0.0
1281-1,23.0,2.0
128-2,21.0,2.0
1282-1,24.0,0.0
128-3,36.0,2.0
1283-1,20.0,0.0
1284-1,22.0,1.0
1285-1,18.0,5.0
1286-1,18.0,4.0
1287-1,16.0,0.0
1288-1,22.0,2.0
1289-1,23.0,0.0
1290-1,35.0,0.0
1291-1,32.0,0.0
1292-1,31.0,2.0
1293-1,21.0,4.0
1294-1,28.0,3.0
1295-1,26.0,4.0
1296-1,26.0,4.0
1297-1,30.0,4.0
1298-1,0.0,0.0
1298-10,9.0,0.0
1298-11,13.0,0.0
1298-12,7.0,1.0
1298-13,12.0,7.0
1298-14,5.0,0.0
1298-15,10.0,1.0
1298-16,9.0,0.0
1298-17,7.0,1.0
1298-18,9.0,0.0
1298-19,10.0,0.0
1298-2,11.0,1.0
1298-20,7.0,4.0
1298-21,10.0,4.0
1298-22,9.0,0.0
1298-23,8.0,4.0
1298-24,10.0,4.0
1298-25,11.0,1.0
1298-3,5.0,0.0
1298-4,6.0,7.0
1298-5,9.0,1.0
1298-6,10.0,3.0
1298-7,11.0,1.0
1298-8,7.0,1.0
1298-9,10.0,1.0
1300-1,47.0,0.0
130-1,20.0,0.0
1306-1,43.0,2.0
1307-1,48.0,3.0
1308-1,96.0,13.0
1309-1,150.0,0.0
13-1,6.0,4.0
1310-1,90.0,6.0
131-1,66.0,0.0
1314-1,210.0,0.0
1315-1,50.0,0.0
1316-1,150.0,0.0
1317-1,350.0,0.0
1318-1,68.0,0.0
1319-1,22.0,0.0
13-2,92.0,0.0
1320-1,32.0,0.0
132-1,115.0,0.0
1321-1,22.0,0.0
132-2,56.0,2.0
1322-1,32.0,0.0
1323-1,24.0,0.0
1324-1,101.0,0.0
1325-1,68.0,0.0
1326-1,28.0,0.0
1327-1,48.0,0.0
1328-1,32.0,0.0
1329-1,28.0,0.0
13-3,5.0,0.0
1330-1,20.0,0.0
133-1,81.0,0.0
1331-1,88.0,0.0
1332-1,18.0,0.0
1333-1,20.0,0.0
1334-1,2.0,0.0
1335-1,2.0,0.0
1336-1,2.0,0.0
1337-1,18.0,0.0
1338-1,72.0,0.0
1339-1,20.0,0.0
1340-1,18.0,0.0
134-1,54.0,1.0
1341-1,3.0,0.0
134-2,84.0,0.0
1342-1,7.0,0.0
1343-1,4.0,0.0
1344-1,6.0,6.0
1345-1,52.0,0.0
1346-1,2.0,0.0
1347-1,42.0,0.0
1348-1,3.0,0.0
1349-1,431.0,29.0
135-1,328.0,10.0
1351-1,203.0,15.0
1352-1,231.0,13.0
1353-1,152.0,24.0
1354-1,94.0,4.0
1355-1,58.0,3.0
1356-1,26.0,3.0
1357-1,23.0,2.0
1360-1,23.0,0.0
136-1,81.0,0.0
1361-1,20.0,0.0
1362-1,24.0,4.0
1363-1,22.0,4.0
1370-1,157.0,3.0
137-1,104.0,0.0
1371-1,179.0,10.0
137-2,71.0,10.0
1374-1,50.0,10.0
1376-1,234.0,19.0
1380-1,109.0,8.0
138-1,102.0,5.0
1381-1,169.0,6.0
1382-1,463.0,52.0
1383-1,52.0,3.0
1385-1,5.0,8.0
1386-1,2.0,11.0
1388-1,8.0,0.0
1389-1,8.0,0.0
1390-1,8.0,0.0
139-1,12.0,1.0
1391-1,8.0,0.0
1392-1,8.0,0.0
1393-1,8.0,0.0
139A-1,12.0,1.0
140-1,135.0,0.0
140-2,95.0,1.0
14-1,24.0,0.0
1411-1,36.0,1.0
1413-1,28.0,1.0
1414-1,22.0,0.0
1415-1,22.0,4.0
1416-1,31.0,0.0
1417-1,28.0,1.0
1417-2,28.0,1.0
1418-1,25.0,1.0
1419-1,27.0,1.0
1420-1,29.0,1.0
1421-1,23.0,0.0
1422-1,20.0,0.0
1423-1,24.0,4.0
1424-1,22.0,4.0
1425-1,19.0,4.0
1426-1,17.0,4.0
1427-1,20.0,1.0
1428-1,24.0,0.0
1428-2,20.0,0.0
1429-1,19.0,0.0
1429-2,19.0,0.0
14-3,0.0,0.0
1430-1,12.0,0.0
1430-2,13.0,0.0
1431-1,25.0,2.0
1432-1,24.0,2.0
1433-1,24.0,2.0
1434-1,23.0,2.0
1435-1,7.0,0.0
1436-1,14.0,2.0
1437-1,13.0,0.0
14-4,1.0,0.0
1441-1,13.0,0.0
145-1,400.0,12.0
146-1,68.0,0.0
1461-1,30.0,2.0
1462-1,22.0,1.0
1463-1,20.0,6.0
1464-1,17.0,0.0
1467-1,45.0,1.0
1468-1,39.0,1.0
1469-1,37.0,2.0
1470-1,32.0,0.0
147-1,111.0,1.0
1472-1,330.0,35.0
1474-1,69.0,0.0
1475-1,113.0,17.0
1477-1,38.0,1.0
1478-1,27.0,4.0
1479-1,28.0,7.0
1480-1,33.0,0.0
148-1,292.0,0.0
1481-1,24.0,0.0
1484-1,201.0,16.0
1489-1,161.0,14.0
1490-1,186.0,11.0
149-1,337.0,3.0
1491-1,51.0,0.0
1492-1,29.0,0.0
1495-1,26.0,0.0
1496-1,44.0,8.0
1497-1,112.0,12.0
1498-1,61.0,2.0
1499-1,78.0,11.0
150-1,28.0,0.0
1506-1,0.0,0.0
1507-1,0.0,0.0
1509-1,0.0,0.0
15-1,38.0,0.0
1510-1,0.0,0.0
151-1,28.0,0.0
1512-1,251.0,0.0
1512-2,102.0,1.0
1513-1,901.0,0.0
1513-2,71.0,0.0
1514-1,42.0,4.0
1515-1,0.0,0.0
1516-1,22.0,0.0
1517-1,31.0,1.0
1518-1,70.0,9.0
15-2,157.0,0.0
1520-1,212.0,5.0
1520-2,0.0,0.0
152-1,22.0,0.0
1521-1,24.0,0.0
1522-1,40.0,4.0
1523-1,27.0,0.0
1524-1,36.0,2.0
1525-1,149.0,5.0
1526-1,91.0,14.0
1528-1,29.0,0.0
153-1,15.0,0.0
154-1,4.0,0.0
1544-1,57.0,0.0
1545-1,29.0,0.0
1546-1,30.0,1.0
1547-1,60.0,0.0
1548-1,168.0,5.0
1549-1,62.0,0.0
1550-1,48.0,1.0
155-1,14.0,0.0
1551-1,6.0,0.0
1551-2,47.0,2.0
1552-1,364.0,15.0
1552-2,44.0,1.0
1554-1,173.0,2.0
1555-1,19.0,0.0
1555-2,40.0,4.0
1556-1,10.0,0.0
1557-1,24.0,2.0
1558-1,59.0,9.0
1560-1,25.0,1.0
1560-2,43.0,1.0
1560-3,27.0,0.0
156-1,6.0,0.0
1561-1,30.0,2.0
1561-2,57.0,3.0
156-2,25.0,0.0
1562-1,23.0,2.0
1562-2,35.0,1.0
1562-3,47.0,3.0
1563-1,29.0,1.0
157-1,25.0,0.0
157-2,7.0,0.0
1572-1,70.0,9.0
157-3,63.0,2.0
1575-1,370.0,137.0
1575-2,239.0,3.0
1577-1,217.0,0.0
1580-1,63.0,9.0
1580-2,306.0,107.0
158-1,7.0,0.0
1581-1,179.0,2.0
1581-2,118.0,5.0
1584-1,172.0,0.0
1588-1,27.0,0.0
1589-1,424.0,19.0
1589-2,239.0,23.0
1590-2,243.0,23.0
159-1,25.0,0.0
1591-1,39.0,1.0
1592-1,489.0,6.0
1592-2,489.0,6.0
1593-1,290.0,24.0
1596-1,37.0,0.0
1597-1,0.0,0.0
1598-1,36.0,2.0
1599-1,91.0,11.0
160-1,6.0,0.0
1601-1,187.0,2.0
1602-1,16.0,0.0
1603-1,13.0,0.0
1604-1,17.0,0.0
1605-1,14.0,0.0
1606-1,20.0,3.0
1607-1,23.0,3.0
1608-1,23.0,1.0
1609-1,29.0,2.0
16-1,0.0,32.0
1610-1,20.0,3.0
1610-2,75.0,7.0
161-1,7.0,0.0
1611-1,21.0,0.0
1611-2,61.0,2.0
1612-1,29.0,1.0
1613-1,373.0,2.0
1616-1,0.0,0.0
1617-1,155.0,0.0
1619-1,254.0,6.0
1620-1,27.0,5.0
1620-2,232.0,4.0
162-1,190.0,20.0
1621-1,90.0,6.0
1624-1,22.0,0.0
1625-1,40.0,0.0
1626-1,31.0,3.0
1627-1,36.0,0.0
1628-1,63.0,0.0
1630-1,26.0,1.0
163-1,125.0,2.0
1631-1,23.0,0.0
1632-1,27.0,1.0
1633-1,22.0,2.0
1636-1,185.0,0.0
1637-1,491.0,2.0
1638-1,439.0,5.0
1639-1,662.0,14.0
164-1,138.0,8.0
1642-1,14.0,1.0
1642-2,14.0,1.0
1643-1,15.0,1.0
1644-1,16.0,1.0
1644-2,16.0,1.0
1645-1,17.0,2.0
1646-1,16.0,1.0
1646-2,16.0,1.0
1647-1,13.0,1.0
1648-1,15.0,1.0
