name,matte,transparent
Community Buildings,852.0,43.0
Mickey Mouse and Friends,65.0,0.0
My First Police Set,39.0,0.0
Fire and Rescue Team,26.0,4.0
Beach Racing,34.0,2.0
Stena Line Ferry,202.0,9.0
Sleeping Beauty's Fairy Tale,55.0,0.0
Superman™ Rescue,19.0,0.0
The Joker Challenge,39.0,1.0
Batcave Adventure,58.0,1.0
My First Shop,39.0,0.0
Circus Transport,9.0,0.0
Creative Cars,42.0,0.0
Toddler Build and Play Cubes,17.0,0.0
Toddler Build and Pull Along,15.0,0.0
Creative Bucket,63.0,2.0
Giant Tower,198.0,2.0
Number Train,31.0,0.0
Basic School Pack - 773 elements with teacher's manual,775.0,10.0
Toddler Starter Building Set,37.0,0.0
LEGO® DUPLO® Creative Suitcase,133.0,2.0
Creative Picnic,52.0,0.0
Toddler Build and Boat Fun,18.0,0.0
Knight Tournament,16.0,0.0
Treasure Attack,46.0,0.0
LEGO® DUPLO® All-in-One-Gift-Set,30.0,0.0
All-in-One-Pink-Box-of-Fun,65.0,0.0
All-in-One-Box-of-Fun,65.0,0.0
Creative Animals,25.0,0.0
Creative Ice Cream,23.0,0.0
Duplo Creative Building Cube,75.0,0.0
Zoo Care,9.0,0.0
Big Royal Castle,134.0,1.0
Clubhouse Café,16.0,0.0
Deluxe Box of Fun,93.0,2.0
Forest: Ducks,13.0,0.0
Forest: Animals,39.0,0.0
Forest: Fishing Trip,29.0,1.0
Forest: Park,102.0,0.0
Mom and Baby,13.0,0.0
Ice Cream Truck,11.0,0.0
Café,51.0,0.0
Rally Car,13.0,0.0
Airport,29.0,0.0
Fire Boat,17.0,2.0
Fire Truck,25.0,1.0
Fire Station,103.0,1.0
Sofia the First™ Royal Stable,38.0,0.0
Sofia the First™ Royal Castle,86.0,1.0
Disney Princess™ Collection,62.0,1.0
Mickey & Minnie Birthday Parade,24.0,0.0
Batman Adventure,46.0,0.0
Disney • Pixar Cars™ Classic Race,28.0,1.0
Road Plates and Signs,30.0,0.0
Delivery Vehicle,19.0,0.0
Camping,36.0,1.0
My First Bus,17.0,0.0
Jake and the Never Land Pirates Treasure Island,25.0,0.0
Doc McStuffins Rosie the Ambulance,15.0,1.0
Doc McStuffins Backyard Clinic,39.0,0.0
Spider-Man Web-Bike Workshop,13.0,0.0
Spider-Man Spider Truck Adventure,27.0,1.0
UNICEF Van,54.0,5.0
Single Disk Pack,1.0,0.0
My First Tractor,12.0,0.0
My First Playhouse,25.0,0.0
My First Farm,26.0,0.0
LEGO® DUPLO® Creative Building Box,69.0,0.0
{Town Vehicles},152.0,6.0
Large Creative Box,191.0,2.0
Basic Bricks – Large,0.0,0.0
Community Workers,142.0,27.0
Dacta Buildings,0.0,0.0
House Accessories - 182 elements,184.0,18.0
XL Creative Brick Box,1602.0,13.0
Monster Trucks,180.0,27.0
My First LEGO Princess,90.0,5.0
My First LEGO Set,137.0,17.0
Blue Suitcase,150.0,7.0
Pink Suitcase,152.0,11.0
36 Little People + Accessories,174.0,0.0
My First LEGO Fire Station,79.0,15.0
LEGO Creative Bucket,601.0,6.0
LEGO Creative Chest,583.0,33.0
Creative Tower,1602.0,13.0
Spider-Man: Spider-Car Pursuit,51.0,4.0
Digger,73.0,2.0
Construction,155.0,5.0
The Princess Play Castle,156.0,5.0
Turtle Lair,106.0,3.0
Community Vehicles,227.0,24.0
Fire Emergency,109.0,16.0
Batman: Defend the Batcave,139.0,12.0
Race Car Rally,337.0,13.0
Pony Farm,306.0,0.0
Police – The Big Escape,128.0,18.0
Knights’ Castle,478.0,4.0
Beach Excursion,77.0,2.0
Pirate Treasure Hunt,55.0,2.0
Garbage Truck,88.0,11.0
Air Patrol,20.0,2.0
Creative Building Cube,589.0,11.0
Creative Suitcase,990.0,27.0
Road Work Truck,121.0,11.0
Supermarket Suitcase,122.0,10.0
Fire Suitcase,88.0,25.0
Family House,219.0,15.0
Spider-Man™ Hideout,126.0,11.0
Speedboat,21.0,1.0
Creative Bricks,226.0,5.0
Creative Supplement,293.0,14.0
Rocket,10.0,2.0
Creative Supplement Bright,299.0,10.0
Creative Building Box,553.0,45.0
Medium Creative Brick Box,469.0,15.0
XXXL Box,1440.0,75.0
Large Creative Brick Box,774.0,30.0
Sand Baseplate,1.0,0.0
Green Baseplate,1.0,0.0
Stunt Flyer,19.0,1.0
Gray Baseplate,1.0,0.0
Creative Building Set,541.0,42.0
Creative Builder Box,456.0,43.0
Creative Box,863.0,37.0
Creative Building Basket,948.0,52.0
Blue Creative Box,74.0,5.0
Red Creative Box,55.0,1.0
Green Creative Box,66.0,1.0
Orange Creative Box,62.0,2.0
4.5V Motor Set,31.0,0.0
Canada Post Mail Truck,129.0,9.0
Police Helicopter Chase,55.0,10.0
Iron Man vs Loki,54.0,12.0
Snake Showdown,76.0,17.0
Ariel's Dolphin Carriage,60.0,14.0
Batman & Superman vs. Lex Luthor,145.0,20.0
Lost Temple,146.0,25.0
Stephanie's Horse Carriage,62.0,0.0
Emma's Ice Cream Truck,120.0,16.0
Mia's Vet Clinic,164.0,18.0
Cinderella's Carriage,119.0,10.0
Demolition Site,148.0,14.0
Police Truck Chase,79.0,11.0
Anna & Elsa's Frozen Playground,78.0,20.0
Batman vs. Mr. Freeze,53.0,10.0
Fire Patrol Suitcase,90.0,18.0
Mia's Farm Suitcase,109.0,2.0
Andrea and Stephanie's Beach Holiday,140.0,9.0
LEGO People Supplementary Set,256.0,0.0
Advent Calendar 1999,208.0,20.0
Advent Calendar 1999 (Day  9) Fire Engine,8.0,2.0
Advent Calendar 1999 (Day 10) Santa Minifig,5.0,0.0
Advent Calendar 1999 (Day 11) Dog,8.0,0.0
Advent Calendar 1999 (Day 12) Hippo,9.0,0.0
Advent Calendar 1999 (Day 13) Hovercraft,9.0,1.0
Advent Calendar 1999 (Day 14) Penguin,8.0,0.0
Advent Calendar 1999 (Day 15) Elf,11.0,1.0
Advent Calendar 1999 (Day 16) Seaplane,7.0,3.0
Advent Calendar 1999 (Day 17) Gentleman,10.0,0.0
Advent Calendar 1999 (Day 18) Elephant,10.0,0.0
Advent Calendar 1999 (Day  1) Plane,8.0,3.0
Advent Calendar 1999 (Day 19) Sea Plane,7.0,1.0
Advent Calendar 1999 (Day 20) Cow,10.0,0.0
Advent Calendar 1999 (Day 21) Police Car,9.0,2.0
Advent Calendar 1999 (Day 22) Dog with Red Hat,12.0,0.0
Advent Calendar 1999 (Day 23) Police Helicopter,8.0,2.0
Advent Calendar 1999 (Day 24) Santa,11.0,0.0
Advent Calendar 1999 (Day  2) Snowman,11.0,0.0
Advent Calendar 1999 (Day  3) Speedboat,6.0,1.0
Advent Calendar 1999 (Day  4) Girl,8.0,0.0
Advent Calendar 1999 (Day  5) Sailboat,8.0,1.0
Advent Calendar 1999 (Day  6) Reindeer,12.0,0.0
Advent Calendar 1999 (Day  7) Plane,7.0,3.0
Advent Calendar 1999 (Day  8) Girl,8.0,0.0
Supplementary Set,156.0,14.0
Baby Animals,13.0,0.0
Savanna,15.0,0.0
Arctic,29.0,3.0
Jungle,85.0,1.0
Around the World,143.0,5.0
Horses,20.0,0.0
Little Plane,13.0,0.0
Battery Box,1.0,0.0
Push Train,46.0,0.0
Big Construction Site,44.0,4.0
Tow Truck Set,26.0,0.0
My First Truck,29.0,0.0
"Lego Duplo Creative Building Basket, Multi Color",110.0,0.0
Miles' Space Adventures,21.0,2.0
Miles' Exo-Flex Suit,32.0,5.0
Mickey and Friends Beach House,48.0,0.0
Mickey's Workshop,18.0,0.0
Minnie's Cafe,27.0,0.0
Supplementary Pack,104.0,2.0
My First Caterpillar,19.0,0.0
My First Number Train,19.0,0.0
My First Plane,10.0,0.0
My First Bird,7.0,0.0
Road Burner,25.0,0.0
Lego Basic Figures - 24 elements,24.0,0.0
TECHNIC Control I,396.0,1.0
TECHNIC Control II,461.0,6.0
Arkham Asylum Breakout,1591.0,101.0
Johnny Thunder,13.0,0.0
Super Sub,23.0,1.0
Race Buggy,23.0,0.0
Res-Q Runner,17.0,1.0
Hang Glider,19.0,0.0
Ninja Blaster,24.0,0.0
Mini-Wheel Model Maker No. 1,80.0,6.0
Sky Pirates,102.0,11.0
Universal Building Set,125.0,4.0
Replacement 4.5V Motor,1.0,0.0
Motor Bushes,4.0,0.0
Battery Box,1.0,0.0
DNA Student Set,521.0,0.0
Battery Cables (75cm),2.0,0.0
Crawler Tracks,2.0,0.0
Battery Tender,2.0,0.0
Basic Building Set,404.0,9.0
Signal and Direction-Change Switch,4.0,0.0
Magnetic Couplings,4.0,0.0
Magnetic Couplings for Railway Car,4.0,0.0
Basic Souvenir Box,35.0,1.0
Train Wheels,8.0,0.0
Universal Building Set,169.0,4.0
Rubber Rims for Locomotive Wheels,8.0,0.0
Starter Train Set without Motor,116.0,2.0
Train Sliding Wheel Blocks,2.0,0.0
Motor Frame and Couplers,5.0,0.0
Motor Frame,1.0,0.0
4.5V Lighting Brick (2 x 2),1.0,0.0
"Chain Links, Small",25.0,0.0
"Boat Weight, Red",1.0,0.0
Locomotive Piston Assemblies,6.0,0.0
Small Pre-School Basic Set,32.0,0.0
Tires (42 mm),2.0,0.0
Universal Building Set,196.0,4.0
"Propellers, Wheels and Rotor Unit",15.0,0.0
Locomotive with Motor,72.0,2.0
Hinges,3.0,0.0
"Ball and Socket Couplings, Articulated Joint",8.0,0.0
Digger Bucket,3.0,0.0
Crane Grab,3.0,0.0
"Jack Complete Assembly, Blue",1.0,0.0
Santa,40.0,0.0
Santa on Skis,21.0,0.0
Storage Cloth (Spread Bag),1.0,0.0
Santa on Reindeer,34.0,0.0
Locomotive Traction Tires,8.0,0.0
Storage Folder for Building Instructions (16 Internal Pockets),1.0,0.0
Universal Building Set,287.0,6.0
Tires (42 mm) and Hubs,4.0,0.0
Motorized Train Set,306.0,38.0
Hinges,8.0,0.0
Brick Hinges,8.0,0.0
Battery Wagon,2.0,0.0
"Battery Cable Kit: 12 Connectors, 3m Cable",13.0,0.0
"Battery Cable Kit: 16 Connectors, 3m Cable",17.0,0.0
"Battery Cable Kit: 20 Connectors, 3m Cable",21.0,0.0
"Buffers, Magnetic Couplers",6.0,0.0
Train Couplings,4.0,0.0
Replacement Rubber Wheel Treads for Trains,8.0,0.0
Motor-Mount Plate with Magnetic Couplers,5.0,0.0
12V Light Bricks,2.0,0.0
Universal Building Set,382.0,8.0
Wheel Bricks with Small Red Train Wheels,2.0,0.0
Small Train Set,87.0,1.0
Wheel Bricks with Small Black Train-Wheels,2.0,0.0
Wheel Bricks with Large Red Train Wheels,2.0,0.0
Train Baseplate,1.0,0.0
Bogie Plate,1.0,0.0
"Pushrods, Cylinder Housings",6.0,0.0
"Light Prisms & Holder, Red/Yellow Light Covers",1.0,6.0
Differential,5.0,0.0
Air Police,22.0,2.0
Bulldozer Chainlinks,52.0,0.0
Replacement Motor 12V,1.0,0.0
Building Set,184.0,6.0
Train Power Pick-Up Blocks,2.0,0.0
Starter Train Set with Motor,130.0,2.0
Electric Wire,2.0,0.0
Battery Control Unit,1.0,0.0
"TECHNIC Pneumatic Tubing, 40cm +100cm",2.0,0.0
Starter Train Set with Motor,336.0,28.0
TECHNIC Pneumatic Pump Cylinder 48mm,1.0,0.0
Deluxe Motorized Train Set,333.0,28.0
TECHNIC Pneumatic Piston Cylinder 48mm,1.0,0.0
TECHNIC Pneumatic Piston Cylinder 60mm,1.0,0.0
TECHNIC Pneumatic 2 Way Valve and Nonreturn Valve,2.0,0.0
Battery Box,1.0,0.0
Bogie Plates,2.0,0.0
Replacement Train Battery Tender,2.0,0.0
Locomotive without Motor,95.0,4.0
Lighting Brick with Red and Blue Globes,1.0,4.0
Colored Globes,1.0,4.0
Motorhome for Basic Motor 4.5V/Train Motor 12V,2.0,0.0
4.5v TECHNIC Motor,1.0,0.0
Gear Racks and Turntables,6.0,0.0
Santa In Truck with Polar Bear,26.0,1.0
"Siren, Black",1.0,0.0
Replacement Space Siren,1.0,0.0
Space Port Moon Buggy,24.0,3.0
Electronic Train,98.0,5.0
Space Port Spacecraft,20.0,6.0
Small Train Set,115.0,2.0
Adventurers Raft,20.0,0.0
Motorized Freight or Passenger Train (Sears Exclusive),409.0,10.0
Mummy and Cart,14.0,3.0
Cart,24.0,0.0
Raft,25.0,0.0
Cart,26.0,0.0
Glider,25.0,0.0
Fire Formula,35.0,3.0
Rocket Boat,25.0,5.0
Retro Buggy,84.0,6.0
DK Star Wars Brickmaster: Battle For The Stolen Crystals,374.0,14.0
Build Your Own Adventure with Liza Mini-Doll and Touring Car,71.0,10.0
Lego Ninjago: Build Your Own Adventure,72.0,3.0
Super Train Set,391.0,10.0
Micro-Scale Space Cruiser,88.0,24.0
Try Bird,32.0,3.0
LEGO Star Wars: Build Your Own Adventure,75.0,3.0
Classic Building Table,408.0,2.0
Alien Encounter,39.0,7.0
Biker with Bicycle,6.0,2.0
Telekom Race Cyclist and Television Motorbike,25.0,9.0
Crown Gears,2.0,0.0
Service Team - 2 Bikers with Service Tools,72.0,4.0
Winning Team,93.0,17.0
Hero Recon Team,0.0,0.0
"LEGO Town Plan Board, Large Plastic",1.0,0.0
"LEGO Town Plan Board, Small Plastic",1.0,0.0
LEGO Town Plan Wooden Board,1.0,0.0
Complete Freight Train Set with Tipper Trucks,161.0,2.0
racer polybag,1.0,0.0
"Turntables (4 x 4), Turntables (2 x 2)",8.0,0.0
"Fences, Red and Black",10.0,0.0
Basic Building Set,173.0,5.0
Keys for Wind-Up Motor,2.0,0.0
"Round Bricks (2 x 2), White",10.0,0.0
"Turntables (4 x 4), Red",2.0,0.0
"Inverted Slope Bricks, Assorted, Red",16.0,0.0
Fences and Gates,10.0,0.0
Blue Space Elements,8.0,0.0
Winch Block and Hook Assembly,3.0,0.0
Small Store Set,30.0,0.0
Roadster,23.0,0.0
Space Stands and Brackets,8.0,0.0
Small House Set,19.0,0.0
"Rocket Tops, Black",6.0,0.0
Small House - Left Set,21.0,0.0
Space Radar Disks,5.0,0.0
Small House - Right Set,23.0,0.0
Upper Part of Motorhome for 4.5V/12V Trainmotor,1.0,0.0
Windows and Doors,24.0,0.0
Train Motor 4.5V Type II Lower Housing,1.0,0.0
2 x 8 & 2 x 10 Bricks,20.0,0.0
Semaphores with Feet,8.0,0.0
4 x 4 Corner Bricks,20.0,0.0
Yellow Girder Beams & Plates,20.0,0.0
2 x 4 Bricks,52.0,0.0
Blue Girder Beams & Plates,20.0,0.0
2 x 3 Bricks,60.0,0.0
TECHNIC Beams & Plates [Red],20.0,0.0
2 x 2 Bricks,80.0,0.0
Black Girder Beams & Plates,20.0,0.0
1 x 2 Bricks,104.0,0.0
Loco and Tender,88.0,8.0
TECHNIC beams - yellow,8.0,0.0
1 x 1 Bricks,160.0,0.0
TECHNIC beams - blue,8.0,0.0
1 x 1 Round Bricks,160.0,40.0
TECHNIC beams - black,8.0,0.0
2 x 2 & 2 x 4 Curved Bricks,11.0,3.0
2 x 2 Curved Bricks,80.0,20.0
TECHNIC Beams [Red],8.0,0.0
8 Danish Named Beams,8.0,0.0
8 Named Beams,8.0,0.0
1 x 6 and 1 x 8 Bricks,36.0,0.0
Assortment of Axles,32.0,0.0
Mixed Plates Parts Pack,12.0,0.0
Tractor Tires & Hubs,12.0,0.0
6 x 8 & 2 x 8 Plates,4.0,0.0
Gear Wheel Assortment,15.0,0.0
4 x 8 & 2 x 8 Plates,5.0,0.0
Differential Gear Housing,28.0,0.0
4 x 8 Curved & 2 x 8 Plates,5.0,0.0
TECHNIC Chainlinks,70.0,0.0
Wheel Bearings for Locomotives,2.0,0.0
TECHNIC Bulldozer Chainlinks,54.0,0.0
Windows and Door without Glass,7.0,0.0
Passenger Coach,74.0,24.0
X-Large Tires & Hubs,4.0,0.0
"Windows and Door with Glass, Red",10.0,0.0
"Windows and Door with Glass, White",10.0,0.0
Toggle Joints & Connectors,46.0,0.0
Axle Assortment,34.0,0.0
Light Masts,4.0,0.0
Gear Wheel Assortment,21.0,0.0
"Replacement Gearbox for Electric, Motor 4.5V/12V Type II 12 x 4 x 3 1/3",1.0,0.0
Differential Gear Housing,19.0,0.0
Garage Plate and Door,3.0,0.0
TECHNIC wheels with hubs,4.0,0.0
Garage,59.0,0.0
12V Technic Motor,1.0,0.0
Honda Promotional Set,55.0,0.0
Subzero,4.0,0.0
Remote Control for Electric Points,8.0,0.0
"Hinges and Tilted Bearings, Light Gray",16.0,0.0
8 Road Signs,8.0,0.0
Goods Wagon,56.0,0.0
Digger Bucket Assembly,4.0,0.0
8 Road Signs,8.0,0.0
Crane Grab and Winch,4.0,0.0
International Flags,5.0,0.0
5 Danish Flags,5.0,0.0
Hinges and Couplings,9.0,0.0
Runway Plates,2.0,0.0
T- and Intersection Plates,2.0,0.0
Lighting Device Pack,2.0,1.0
Helicopter,24.0,5.0
Patrol Car,25.0,8.0
Esso Pumps/Sign,8.0,0.0
Fire Boat,22.0,2.0
Painted Trees and Bushes,6.0,0.0
Tri-motorbike,12.0,7.0
Dragster,24.0,0.0
Tipping Wagon,20.0,0.0
Go-Cart,25.0,0.0
Building Set,232.0,2.0
